Entity,Definition,Images
Red blood cell,"Red blood cells (RBCs), also referred to as red cells, red blood corpuscles (in humans or other animals not having nucleus in red blood cells), haematids, erythroid cells  or erythrocytes (from Greek erythros 'red' and kytos 'hollow vessel', with -cyte translated as 'cell' in modern usage), are the most common type of blood cell and the vertebrate's principal means of delivering oxygen (O2) to the body tissues—via blood flow through the circulatory system.","['https://upload.wikimedia.org/wikipedia/commons/1/1f/Anthonie_van_Leeuwenhoek_%281632-1723%29._Natuurkundige_te_Delft_Rijksmuseum_SK-A-957.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/68/Cytological_abnormalities_in_peripheral_blood_erythrocytes_of_penguins_Pygoscelis_papua_5.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c1/Erythrocyte_Membrane_lipids.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Erythrocytes_in_vertebrates.jpg']"
Underground storage,Not found on Wikipedia,['Image not found']
Night,"Night (also described as nighttime, unconventionally spelled as ""nite"") is the period of ambient darkness from sunset to sunrise during each 24-hour day, when the Sun is below the horizon.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Cumulus_clouds_in_fair_weather.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/En-Night-article.ogg']"
Mathematics,"Mathematics is an area of knowledge that includes the topics of numbers, formulas and related structures, shapes and the spaces in which they are contained, and quantities and their changes.","['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/58/Bakhshali_numerals_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/Cauchy_sequence_illustration.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg']"
Charge,Charge or charged may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Course,Course may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Stomata,Not found on Wikipedia,['Image not found']
Neutron,"The neutron is a subatomic particle, symbol n or n0, which has a neutral (not positive or negative) charge, and a mass slightly greater than that of a proton.","['https://upload.wikimedia.org/wikipedia/commons/a/aa/Beta-minus_Decay.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/89/Beta_Negative_Decay.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/Blausen_0342_ElectronEnergyLevels.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Cold_Neutron_Source.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Functional group,"In organic chemistry, a functional group is a substituent or moiety in a molecule that causes the molecule's characteristic chemical reactions.","['https://upload.wikimedia.org/wikipedia/commons/9/92/1%C2%B0-amino-group.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/2-APB.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/2-pyridyl.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/08/3-pyridyl.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2c/4-pyridyl.svg']"
Inhalation,Inhalation (or Inspiration) happens when air or other gases enter the lungs.,"['https://upload.wikimedia.org/wikipedia/commons/a/a7/Action_photo_of_nasal_spray_on_a_black_background.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/FlattenedRoundPills.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/98/Glycerin_suppositories.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Hexaaquatitanium%28III%29-solution.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8e/Inhalation_diagram.svg']"
Flower,"A flower, sometimes known as a bloom or blossom, is the reproductive structure found in flowering plants (plants of the division Angiospermae).","['https://upload.wikimedia.org/wikipedia/commons/c/c5/15_Qian_Xuan_Eight_Flowers_National_Palace_Museum_Beijing.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/ABC_flower_development.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Acaena_novae-zelandiae1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Aikya_Linga_in_Varanasi.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Amborella_trichopoda_%283065968016%29_fragment.jpg']"
Dense liquid,Not found on Wikipedia,['Image not found']
SARS-CoV-2,"Severe acute respiratory syndrome coronavirus 2 (SARS‑CoV‑2) is a strain of coronavirus that causes COVID-19 (coronavirus disease 2019), the respiratory illness responsible for the ongoing COVID-19 pandemic.","['https://upload.wikimedia.org/wikipedia/commons/1/13/6VSB_spike_protein_SARS-CoV-2_monomer_in_homotrimer.png', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/94/Coronavirus._SARS-CoV-2.png']"
Continental plate,Not found on Wikipedia,['Image not found']
Eating,"Eating (also known as consuming) is the ingestion of food, typically to provide a heterotrophic organism with  energy and to allow for growth.","['https://upload.wikimedia.org/wikipedia/commons/f/fb/A_polar_bear_%28Ursus_maritimus%29_scavenging_a_narwhal_whale_%28Monodon_monoceros%29_carcass_-_journal.pone.0060797.g001-A.png', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Abell-photoblog28.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Amandines_de_Provence%2C_poster_by_Leonetto_Cappiello%2C_1900.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/BirdBeaksA.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Blacky.jpg']"
91 Disasters Caused by Geo-natural Causes and Their Remedies,Not found on Wikipedia,['Image not found']
Petrol,Not found on Wikipedia,['https://upload.wikimedia.org/wikipedia/commons/1/1b/Semi-protection-shackle.svg']
Inorganic solid,Not found on Wikipedia,['Image not found']
Raw material,"A raw material, also known as a feedstock, unprocessed material, or primary commodity, is a basic material that is used to produce goods, finished goods, energy, or intermediate materials that are feedstock for future finished products.","['https://upload.wikimedia.org/wikipedia/commons/f/fa/AlbertaSulfurAtVancouverBC.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Latex_-_Hevea_-_Cameroun.JPG', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'Image not found']"
Brain,A brain is an organ that serves as the center of the nervous system in all vertebrate and most invertebrate animals.,"['https://upload.wikimedia.org/wikipedia/commons/3/3a/1543%2C_Andreas_Vesalius%27_Fabrica%2C_Base_Of_The_Brain.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c8/6_week_embryo_brain.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Basal_ganglia.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/89/Bilaterian-plan.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Brain-computer_interface_%28schematic%29.jpg']"
Greek alphabet,"The Greek alphabet has been used to write the Greek language since the late 9th or early 8th century BCE. It is derived from the earlier Phoenician alphabet, and was the earliest known alphabetic script to have distinct letters for vowels as well as consonants.","['https://upload.wikimedia.org/wikipedia/commons/5/52/Ancient_Greek_epichoric_alphabets.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Dipylon_Inscription.JPG', 'https://upload.wikimedia.org/wikipedia/commons/1/17/Ell-AlphabitosUpload.ogg', 'https://upload.wikimedia.org/wikipedia/commons/7/72/En-us-alpha.ogg']"
Mica,Micas ( MY-kəz) are a group of silicate minerals whose outstanding physical characteristic is that individual mica crystals can easily be split into extremely thin elastic plates.,"['https://upload.wikimedia.org/wikipedia/commons/a/a3/Am%C3%A9thystre_sceptre2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9b/Dark_Mica_from_Eastern_Ontario.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Hand_Hopewell_mica.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/68/Mica-moniale.jpg']"
Upper jaw,Not found on Wikipedia,['Image not found']
Algae cell,Not found on Wikipedia,['Image not found']
Conservation status,"The conservation status of a group of organisms (for instance, a species) indicates whether the group still exists and how likely the group is to become extinct in the near future.","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Bufo_periglenes2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Earth_Day_Flag.png', 'https://upload.wikimedia.org/wikipedia/commons/4/42/Flickr_-_law_keven_-_How_much_longer_have_I_got_to_wait%5E.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Hopetoun_falls.jpg']"
Severe acute respiratory syndrome,Not found on Wikipedia,['Image not found']
Food chain,"A food chain is a linear network of links in a food web starting from producer organisms (such as grass or algae which produce their own food via photosynthesis) and ending at an apex predator species (like grizzly bears or killer whales), detritivores (like earthworms or woodlice), or decomposer species (such as fungi or bacteria).","['https://upload.wikimedia.org/wikipedia/commons/0/0e/Chesapeake_Waterbird_Food_Web.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Earth_Day_Flag.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9f/Food_chain.png', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Merge-arrow.svg']"
Livestock,"Livestock are the domesticated animals raised in an agricultural setting to provide labor and produce diversified products for consumption such as meat, eggs, milk, fur, leather, and wool.","['https://upload.wikimedia.org/wikipedia/commons/e/e8/20150728_xl_P1000804_Leck_mich_Zaertlichkeit_der_Rinder.JPG', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Animal_transport_6.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/18/Arjuna.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/15/BUFFALO159.JPG', 'https://upload.wikimedia.org/wikipedia/commons/5/56/Balinese_cow.JPG']"
Seed,"In botany, seed is an undeveloped plant embryo and food reserve enclosed in a protective outer covering called a seed coat (testa).","['https://upload.wikimedia.org/wikipedia/commons/4/4f/Budowa_nasienia-dwuliscienne.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Comparison_of_Monocotyledons_and_Dicotyledons.png', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Dycotyledon_seed_diagram-en.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Female_coco_de_mer_seed.jpg']"
Ring of Fire,"The Ring of Fire (also known as the Pacific Ring of Fire, the Rim of Fire, the Girdle of Fire or the Circum-Pacific belt) is a region around much of the rim of the Pacific Ocean where many volcanic eruptions and earthquakes occur.","['https://upload.wikimedia.org/wikipedia/commons/c/ca/19991102_Tung_large.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/29/Active_Margin.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/52/Antarctica_2013_Journey_to_the_Crystal_Desert_%288370600188%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Cascade_eruptions_in_the_last_4000_years.png', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Cascadia_subduction_zone_USGS.png']"
Velocity,Velocity is the directional speed of an object in motion as an indication of its rate of change in position as observed from a particular frame of reference and as measured by a particular standard of time (e.g.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/98/Kinematics.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/81/Radial_and_tangential.svg']"
Cancer,Cancer is a group of diseases involving abnormal cell growth with the potential to invade or spread to other parts of the body.,"['https://upload.wikimedia.org/wikipedia/commons/3/3f/BreastCancer.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/45/Breast_cancer_gross_appearance.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/10/CancerTreeMammal.png', 'https://upload.wikimedia.org/wikipedia/commons/5/5e/Cancer_DALYs_attributable_to_11_Level_2_risk_factors_globally_in_2019.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/Cancer_requires_multiple_mutations_from_NIHen.png']"
Offspring,"In biology, offspring are the young creation of living organisms, produced either by a single organism or, in the case of sexual reproduction, two organisms.","['https://upload.wikimedia.org/wikipedia/commons/9/9c/Frog_in_frogspawn.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f0/Hybridogenesis_in_water_frogs_gametes.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg']"
Endangered species,"An endangered species is a species that is very likely to become extinct in the near future, either worldwide or in a particular political jurisdiction.","['https://upload.wikimedia.org/wikipedia/commons/1/1e/2010-bald-eagle-kodiak.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8d/American_bison_k5680-1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/AraGlaucogularisFull.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Arowana.jpg']"
Abdominal pain,"Abdominal pain, also known as a stomach ache, is a symptom associated with both non-serious and serious medical issues.","['https://upload.wikimedia.org/wikipedia/commons/4/4d/Gray1220.png', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Inert atom,Not found on Wikipedia,['Image not found']
Soft food,Not found on Wikipedia,['Image not found']
Nuclear energy,Nuclear energy may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
