entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Fibre,Roughage,Fiber-rich foods,Food,Type of,"1.1.6 Fibre Besides the components of food, discussed so far, another very important component of food is roughages or fiber-rich foods."
Fibre,Roughage,Plants,Plant type,Obtained from,Fibre or roughage is mainly obtained from plants.
Entire seeds,Food,Sources of roughage,Dietary component,Constituent of,"Entire seeds, pulse, potato, fruits with peel and vegetables are the sources of roughage."
Pulse,Food,Sources of roughage,Dietary component,Constituent of,"Entire seeds, pulse, potato, fruits with peel and vegetables are the sources of roughage."
Potato,Food,Sources of roughage,Dietary component,Constituent of,"Entire seeds, pulse, potato, fruits with peel and vegetables are the sources of roughage."
Fruits with peel,Food,Sources of roughage,Dietary component,Constituent of,"Entire seeds, pulse, potato, fruits with peel and vegetables are the sources of roughage."
Vegetables,Food,Sources of roughage,Dietary component,Constituent of,"Entire seeds, pulse, potato, fruits with peel and vegetables are the sources of roughage."
Dry fruit,Food,Contains,Roughage,Component,"Besides this, dry fruit, cumin, coriander and pea contain a large amount of roughage."
Cumin,Food,Contains,Roughage,Component,"Besides this, dry fruit, cumin, coriander and pea contain a large amount of roughage."
Coriander,Food,Contains,Roughage,Component,"Besides this, dry fruit, cumin, coriander and pea contain a large amount of roughage."
Pea,Food,Contains,Roughage,Component,"Besides this, dry fruit, cumin, coriander and pea contain a large amount of roughage."
Roughage,Food component,Cellulose,Chemical compound,Mainly contained in,Roughage is mainly cellulose contained in the plant cell wall.
Roughage,Food component,Plant cell wall,Cellular structure,Contained in,Roughage is mainly cellulose contained in the plant cell wall.
Roughage,Food,Body,Organism,Does not supply any nutrient to,Roughage does not supply any nutrient to our body.
Water,Substance,Stool,Biological material,"Absorbed by, Increases amount of",It absorbs water and increases the amount of stool.
Fiber,Nutrient,Food,Object,Contained in,So we should take 20-30 grams of fiber food everyday.
Everyday,Time period,Fiber,Nutrient,Recommended intake,So we should take 20-30 grams of fiber food everyday.
Fiber,Nutrient,Vegetables,Food type,Obtained from,This fiber is obtained from vegetables and fruits.
Fiber,Nutrient,Fruits,Food type,Obtained from,This fiber is obtained from vegetables and fruits.
Body Mass Index,Measurement,Baby,Human,Relates to growth,1.2 Body Mass Index (BMI) A baby continues to grow after birth.
Child,Life stage,Teenage,Life stage,Progresses to,"Then it becomes a child, reaches teenage, youth and adulthood."
Teenage,Life stage,Youth,Life stage,Progresses to,"Then it becomes a child, reaches teenage, youth and adulthood."
Youth,Life stage,Adulthood,Life stage,Progresses to,"Then it becomes a child, reaches teenage, youth and adulthood."
Human body,Organism,Age,Time period,Continues up to,The growth of human body continues up to the age of 20-24 years.
Food,Object,"Healthy Life, Better Living 15",Program,Role is,"Then the role of food  Heallhy Life, Better Living 15 is to repair and keep the body healthy."
BMI,Index,Height,Physical attribute,Balance in,The index which shows the balance in height and weight is called the BMI or Body Maas Index.
BMI,Index,Weight,Physical attribute,Balance in,The index which shows the balance in height and weight is called the BMI or Body Maas Index.
BMI,Index,Body Mass Index,Term,Also called,The index which shows the balance in height and weight is called the BMI or Body Maas Index.
Body weight,Physical attribute,Height,Physical attribute,Balanced with,"Jf the body weight is balanced with the height, then it can be considered a nutritionally healthy body."
Bodyweight,Physical quantity,Person,Living being,Has,"The law of BMI ( bodyweight(kg)/height(meter)1 ) That is, the body weight of a per.son is divided by the square m~ of his height and that is the BMI of that persan."
Height,Physical quantity,Person,Living being,Has,"The law of BMI ( bodyweight(kg)/height(meter)1 ) That is, the body weight of a per.son is divided by the square m~ of his height and that is the BMI of that persan."
BMI,Physical quantity,Person,Living being,Calculated using,"The law of BMI ( bodyweight(kg)/height(meter)1 ) That is, the body weight of a per.son is divided by the square m~ of his height and that is the BMI of that persan."
Person,Living being,BMI,Physical quantity,Calculated using,"The law of BMI ( bodyweight(kg)/height(meter)1 ) That is, the body weight of a per.son is divided by the square m~ of his height and that is the BMI of that persan."
Bodyweight,Physical quantity,BMI,Physical quantity,Used in calculation,"The law of BMI ( bodyweight(kg)/height(meter)1 ) That is, the body weight of a per.son is divided by the square m~ of his height and that is the BMI of that persan."
Height,Physical quantity,BMI,Physical quantity,Used in calculation,"The law of BMI ( bodyweight(kg)/height(meter)1 ) That is, the body weight of a per.son is divided by the square m~ of his height and that is the BMI of that persan."
Person,Individual,Body weight,Physical attribute,is,@For es•mple: The body weight of a person is 80 kg and height is 1.8 meter.
Person,Individual,Height,Physical attribute,is,@For es•mple: The body weight of a person is 80 kg and height is 1.8 meter.
BMI,Indicator,Fat,Body component,Indicates,"BMI = SO 24.7 (approximate) 1.8XL8 Bocl:,Mull:Dda BodyMu1mdClt I Male I lPcmalcl ~= lillty 1*.S ltUi-1.4.Q 2~..j;Q.9 JO Pl&, l.Gl : Body Mass Index BMI is the indicator of fat in our body."
Body Mass Index,Indicator,Fat,Body component,Indicates,"BMI = SO 24.7 (approximate) 1.8XL8 Bocl:,Mull:Dda BodyMu1mdClt I Male I lPcmalcl ~= lillty 1*.S ltUi-1.4.Q 2~..j;Q.9 JO Pl&, l.Gl : Body Mass Index BMI is the indicator of fat in our body."
Person,Individual,BMI,Measurement,has,"If a person has less or more BMI than this, he/she is considered under-weight and obese respectively."
Under-weight,Health condition,Person,Individual,Considered if,"If a person has less or more BMI than this, he/she is considered under-weight and obese respectively."
Obese,Health condition,Person,Individual,Considered if,"If a person has less or more BMI than this, he/she is considered under-weight and obese respectively."
Science.io,Website,Calorie,Unit of measurement,Discussed in,"Scimce ,io ~o '-'• 80 ~MI Ftg.1.0, : BM1 and group of learners We have learnt about the calorie and kilocalorle of food while discussing the nutritional value of food in this chapter."
Kilocalorie,Unit of measurement,Calorie,Unit of measurement,Conversion factor,"Scimce ,io ~o '-'• 80 ~MI Ftg.1.0, : BM1 and group of learners We have learnt about the calorie and kilocalorle of food while discussing the nutritional value of food in this chapter."
Food,Object,Nutritional value,Characteristic,Discussed in,"Scimce ,io ~o '-'• 80 ~MI Ftg.1.0, : BM1 and group of learners We have learnt about the calorie and kilocalorle of food while discussing the nutritional value of food in this chapter."
Chapter,Document section,Food,Object,Discussed in,"Scimce ,io ~o '-'• 80 ~MI Ftg.1.0, : BM1 and group of learners We have learnt about the calorie and kilocalorle of food while discussing the nutritional value of food in this chapter."
Adult,Age group,Physical work,Activity,Associated with,"An adult, who does physical work, should take food of2000-2S00 kilocalories per day."
Food,Nutrient,2000-2500 kilocalories,Caloric value,Recommended intake,"An adult, who does physical work, should take food of2000-2S00 kilocalories per day."
Day,Time,Food,Nutrient,Consumed per,"An adult, who does physical work, should take food of2000-2S00 kilocalories per day."
Vegetables,Food type,Vitamins,Nutrient,Contains,"lt is necessary to eat vitamins, minerals and fibrous food al0tl8 with vegetables and fruits."
Vegetables,Food type,Minerals,Nutrient,Contains,"lt is necessary to eat vitamins, minerals and fibrous food al0tl8 with vegetables and fruits."
Vegetables,Food type,Fibrous food,Food type,Contains,"lt is necessary to eat vitamins, minerals and fibrous food al0tl8 with vegetables and fruits."
Fruits,Food type,Vitamins,Nutrient,Contains,"lt is necessary to eat vitamins, minerals and fibrous food al0tl8 with vegetables and fruits."
Fruits,Food type,Minerals,Nutrient,Contains,"lt is necessary to eat vitamins, minerals and fibrous food al0tl8 with vegetables and fruits."
Fruits,Food type,Fibrous food,Food type,Contains,"lt is necessary to eat vitamins, minerals and fibrous food al0tl8 with vegetables and fruits."
Balanced food,Food type,Good health,Health condition,For,"So, we have to take balanced food for good health."
Balanced diet,Concept,Specific food,Food type,Not equal to,Balanced diet does not mean a specific food.
Adult male,Gender,2500 kilo calorie,Energy,Needs,"For example, an adult active healthy male needs 2500 and female needs 2000 kilo calorie energy daily."
Adult female,Gender,2000 kilo calorie,Energy,Needs,"For example, an adult active healthy male needs 2500 and female needs 2000 kilo calorie energy daily."
Age,Demographic,Person,Individual,Considered for,"For preparing a list of balanced food we have to consider the age, sex and physical work done by the person ."
Sex,Demographic,Person,Individual,Considered for,"For preparing a list of balanced food we have to consider the age, sex and physical work done by the person ."
Physical work,Activity,Person,Individual,Considered for,"For preparing a list of balanced food we have to consider the age, sex and physical work done by the person ."
List of balanced food,Food,Person,Individual,Prepared for,"For preparing a list of balanced food we have to consider the age, sex and physical work done by the person ."
Baby,Person,List of food,Food,Preparation for,"For the preparation of the list of food for a baby and an aged person, easily digestible and fat free food should be considered."
Aged person,Person,List of food,Food,Preparation for,"For the preparation of the list of food for a baby and an aged person, easily digestible and fat free food should be considered."
Easily digestible food,Food,Baby,Person,Suitable for,"For the preparation of the list of food for a baby and an aged person, easily digestible and fat free food should be considered."
Fat-free food,Food,Baby,Person,Suitable for,"For the preparation of the list of food for a baby and an aged person, easily digestible and fat free food should be considered."
Easily digestible food,Food,Aged person,Person,Suitable for,"For the preparation of the list of food for a baby and an aged person, easily digestible and fat free food should be considered."
Fat-free food,Food,Aged person,Person,Suitable for,"For the preparation of the list of food for a baby and an aged person, easily digestible and fat free food should be considered."
Babies,Age group,Protein,Nutrient,Require,"Growing babies need protein, calcium and phosphorus enriched food for the growth of bones and teeth."
Babies,Age group,Calcium,Nutrient,Require,"Growing babies need protein, calcium and phosphorus enriched food for the growth of bones and teeth."
Babies,Age group,Phosphorus,Nutrient,Require,"Growing babies need protein, calcium and phosphorus enriched food for the growth of bones and teeth."
Bones,Body part,Babies,Age group,Growth of,"Growing babies need protein, calcium and phosphorus enriched food for the growth of bones and teeth."
Teeth,Body part,Babies,Age group,Growth of,"Growing babies need protein, calcium and phosphorus enriched food for the growth of bones and teeth."
Proteins,Nutrient,Blood,Bodily fluid,Important for producing,"Extra proteins, calcium, and iodine are very important for producing blood and for the development of the embryo in a pregnant lady."
Calcium,Mineral,Blood,Bodily fluid,Important for producing,"Extra proteins, calcium, and iodine are very important for producing blood and for the development of the embryo in a pregnant lady."
Iodine,Mineral,Blood,Bodily fluid,Important for producing,"Extra proteins, calcium, and iodine are very important for producing blood and for the development of the embryo in a pregnant lady."
Embryo,Developing organism,Pregnant lady,Human,Develops in,"Extra proteins, calcium, and iodine are very important for producing blood and for the development of the embryo in a pregnant lady."
Carbohydrate,Nutrient,Rice,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Protein,Nutrient,Fish,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Fat,Nutrient,Butter,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Vitamin,Nutrient,Milk,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Mineral,Nutrient,Eggs,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Milk,Food,Wheat,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Meat,Food,Oil,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Fruit,Food,Eggs,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Sugar,Food,Eggs,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Ghee,Food,Fish,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Fish,Food,Vegetables,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Vegetables,Food,Molasses,Food,Part of,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Carbohydrate,Nutrient,Balanced diet menu,Menu,Included in,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Vegetables,Food,Balanced diet menu,Menu,Included in,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Fruits,Food,Balanced diet menu,Menu,Included in,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Proteins,Nutrient,Balanced diet menu,Menu,Included in,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Fats,Nutrient,Balanced diet menu,Menu,Included in,"The preparation of balanced food Carbohydrate Protein Fat Vitamin Mineral Rice Fish Butter Milk, Eggs Milk Wheat Meat Oil Fruit Eggs Sugar/ Eggs Ghee Fish/Meat Vegetables Molasses  Healthy Life, Better Living 19 The Pyramid of Balanced Diet It is important to include carbohydrates, vegetables, fruits, proteins and fats in a balanced diet menu."
Carbohydrate,Nutrient,Menu,Food item,Amount highest in,It is seen that the amount of carbohydrate is highest in the menu of a teenager or an adult.
Teenager,Age group,Menu,Food item,Preferred by,It is seen that the amount of carbohydrate is highest in the menu of a teenager or an adult.
Adult,Age group,Menu,Food item,Preferred by,It is seen that the amount of carbohydrate is highest in the menu of a teenager or an adult.
Vegetables,Food group,Protein,Food group,Next to,"Then the vegetables, protein and fats are placed one after another in a pyramid (Fig : 1.05)."
Protein,Food group,Fats,Food group,Next to,"Then the vegetables, protein and fats are placed one after another in a pyramid (Fig : 1.05)."
Food,Resource,Countries,Location,Availability varies due to,The availability of food is not same in all countries due to geographical and natural causes.
Geographical causes,Natural cause,Food,Resource,Affects,The availability of food is not same in all countries due to geographical and natural causes.
Food,Object,Selection,Action,Depends on,Selection of food depends on growth and development and physiological activities of the body.
Growth,Biological process,Body,Organism,Related to,Selection of food depends on growth and development and physiological activities of the body.
Development,Biological process,Body,Organism,Related to,Selection of food depends on growth and development and physiological activities of the body.
Physiological activities,Biological process,Body,Organism,Related to,Selection of food depends on growth and development and physiological activities of the body.
Food,Object,Amount,Object,Considered by,"So, food should be selected by considering the amount and its calorie value for high standard of living."
Food,Object,Calorie value,Object,Considered by,"So, food should be selected by considering the amount and its calorie value for high standard of living."
Amount,Object,Calorie value,Object,Related by,"So, food should be selected by considering the amount and its calorie value for high standard of living."
Food pyramid,Diagram,Food component,Nutrient type,Shown in,"In the food pyramid, we have shown how much of which type of food component should be eaten."
Food component,Nutrient type,Food pyramid,Diagram,Shown on,"In the food pyramid, we have shown how much of which type of food component should be eaten."
Oil,Food,Butter,Food,Same type,"For example, oil or butter shown in the pyramid are not eaten by ~ themselves, they are used to make other foods."
Pyramid,Diagram,Oil,Food,Shown in,"For example, oil or butter shown in the pyramid are not eaten by ~ themselves, they are used to make other foods."
Pyramid,Diagram,Butter,Food,Shown in,"For example, oil or butter shown in the pyramid are not eaten by ~ themselves, they are used to make other foods."
Foods,Food,Oil,Food,Made from,"For example, oil or butter shown in the pyramid are not eaten by ~ themselves, they are used to make other foods."
Foods,Food,Butter,Food,Made from,"For example, oil or butter shown in the pyramid are not eaten by ~ themselves, they are used to make other foods."
Nutritionists,Profession,Sources of nutrition,Concept,Divided into,20 Science Nutritionists have divided the sources of nutrition into four classes.
Sources of nutrition,Concept,Four classes,Category,Divided into,20 Science Nutritionists have divided the sources of nutrition into four classes.
Chloroplasts,Organelle,Plant cells,Cell type,Located in,These are : 1.
2. Chloroplasts,Organelle,Thylakoids,Membrane,Contains,These are : 1.
3. Thylakoids,Membrane,Chloroplasts,Organelle,within,These are : 1.
4. Photosynthesis,Biological process,Chloroplasts,Organelle,Occurs in,These are : 1.
5. Light-dependent reactions,Biological process,Thylakoids,Membrane,Occur in,These are : 1.
Peanuts,Food,Pulses,Food,Belongs to,"Meat or fish, eggs, pulses (peanuts, chick pea and nuts)."
Chick pea,Food,Pulses,Food,Belongs to,"Meat or fish, eggs, pulses (peanuts, chick pea and nuts)."
Nuts,Food,Pulses,Food,Belongs to,"Meat or fish, eggs, pulses (peanuts, chick pea and nuts)."
Proteins,Nutrient,Menu,Food item,Considered for preparation,"The amount of proteins, carbohydrates, fats, vitamins and minerals should be considered for the preparation of the menu from breakfast to dinner."
Carbohydrates,Nutrient,Menu,Food item,Considered for preparation,"The amount of proteins, carbohydrates, fats, vitamins and minerals should be considered for the preparation of the menu from breakfast to dinner."
Fats,Nutrient,Menu,Food item,Considered for preparation,"The amount of proteins, carbohydrates, fats, vitamins and minerals should be considered for the preparation of the menu from breakfast to dinner."
Vitamins,Nutrient,Menu,Food item,Considered for preparation,"The amount of proteins, carbohydrates, fats, vitamins and minerals should be considered for the preparation of the menu from breakfast to dinner."
Minerals,Nutrient,Menu,Food item,Considered for preparation,"The amount of proteins, carbohydrates, fats, vitamins and minerals should be considered for the preparation of the menu from breakfast to dinner."
Breakfast,Meal,Menu,Food item,Part of,"The amount of proteins, carbohydrates, fats, vitamins and minerals should be considered for the preparation of the menu from breakfast to dinner."
Dinner,Meal,Menu,Food item,Part of,"The amount of proteins, carbohydrates, fats, vitamins and minerals should be considered for the preparation of the menu from breakfast to dinner."
City dwellers,Person,Breakfast,Meal,Complete with,Many of the city dwellers complete their breakfast just with a cup of tea.
Tea,Beverage,Breakfast,Meal,Part of,Many of the city dwellers complete their breakfast just with a cup of tea.
Bread,Food,Breakfast,Meal,Completed with,"All the nutrients will be easy to get if the break- fast is completed with bread, butter or egg and a banana."
Butter,Food,Breakfast,Meal,Completed with,"All the nutrients will be easy to get if the break- fast is completed with bread, butter or egg and a banana."
Egg,Food,Breakfast,Meal,Completed with,"All the nutrients will be easy to get if the break- fast is completed with bread, butter or egg and a banana."
Banana,Food,Breakfast,Meal,Completed with,"All the nutrients will be easy to get if the break- fast is completed with bread, butter or egg and a banana."
Nutrients,Substance,Breakfast,Meal,Contained in,"All the nutrients will be easy to get if the break- fast is completed with bread, butter or egg and a banana."
Molasses of sugarcane,Food,Body,Organism,Consumed by,"In summer, body remains healthy if the breakfast is done with molasses of sugarcane and flakes rice ( chira and goor)."
Flakes rice,Food,Body,Organism,Consumed by,"In summer, body remains healthy if the breakfast is done with molasses of sugarcane and flakes rice ( chira and goor)."
Summer,Season,Body,Organism,Relatively healthy due to,"In summer, body remains healthy if the breakfast is done with molasses of sugarcane and flakes rice ( chira and goor)."
Breakfast,Meal,Molasses of sugarcane,Food,Comprised of,"In summer, body remains healthy if the breakfast is done with molasses of sugarcane and flakes rice ( chira and goor)."
Breakfast,Meal,Flakes rice,Food,Comprised of,"In summer, body remains healthy if the breakfast is done with molasses of sugarcane and flakes rice ( chira and goor)."
Lunch,Meal,Our country,Location,Considered as,Lunch is considered the main meal in our country.
Fish,Animal,Protein,Nutrient,Source of,In the tropical regions (tropical countries) fish rather than meat is the source of protein.
Meat,Animal,Protein,Nutrient,Alternative to,In the tropical regions (tropical countries) fish rather than meat is the source of protein.
Tropical regions,Geographical location,Fish,Animal,Found in,In the tropical regions (tropical countries) fish rather than meat is the source of protein.
Tropical countries,Geographical location,Fish,Animal,Found in,In the tropical regions (tropical countries) fish rather than meat is the source of protein.
Meat,Food,Winter,Season,Related to,But in winter eating more meat is not harmful.
Yogurt,Food,Health,Concept,Good for,Yogurt and fruit after every meal are good for the health.
Fruit,Food,Health,Concept,Good for,Yogurt and fruit after every meal are good for the health.
Meal,Event,Yogurt,Food,Followed by,Yogurt and fruit after every meal are good for the health.
Meal,Event,Fruit,Food,Followed by,Yogurt and fruit after every meal are good for the health.
Economic condition,Factor,Evening snack,Meal,Considered for preparation,The evening snack should be prepared according to the economic condition of the family as well as the nutri- ent value of the food.
Family,Group of people,Economic condition,Factor,Determines preparation,The evening snack should be prepared according to the economic condition of the family as well as the nutri- ent value of the food.
Nutrient value,Characteristic,Food,Ingredient,Considered for preparation,The evening snack should be prepared according to the economic condition of the family as well as the nutri- ent value of the food.
Students,Person,Food,Object,Take,Students should take milk or any other energy producing food according to their economic condition.
Milk,Food,Students,Person,Taken by,Students should take milk or any other energy producing food according to their economic condition.
Energy producing food,Food,Students,Person,Taken by,Students should take milk or any other energy producing food according to their economic condition.
Economic condition,Condition,Students,Person,Dependent on,Students should take milk or any other energy producing food according to their economic condition.
Foods,Food type,Health,Health concern,Affects,These foods are very tasty to eat but not good for the health.
Foods,Food type,Taste buds,Body part,Stimulates,These foods are very tasty to eat but not good for the health.
Health,Health concern,Foods,Food type,Affected by,These foods are very tasty to eat but not good for the health.
Taste buds,Body part,Foods,Food type,Stimulated by,These foods are very tasty to eat but not good for the health.
Burger,Food,Animal fat,Nutrient,Contains,"Burger, fried chicken, pizza, chips, chrispy foods, cake and biscuit have lots of animal fat."
Fried chicken,Food,Animal fat,Nutrient,Contains,"Burger, fried chicken, pizza, chips, chrispy foods, cake and biscuit have lots of animal fat."
