Entity,Definition,Images
Urban agriculture,"Urban agriculture, urban farming, or urban gardening is the practice of cultivating, processing, and distributing food in or around urban areas.","['https://upload.wikimedia.org/wikipedia/commons/5/51/AJM_034_Havana_urban_agriculture_business.JPG', 'https://upload.wikimedia.org/wikipedia/commons/d/df/Aretxabaleta-apts-and-garden-4618.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/City_experiment_in_gardening%2C_New_York_City_LCCN93501876.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/50/Ezhou-train-station-0109.jpg']"
Human health,Not found on Wikipedia,['Image not found']
Vertical farming,Vertical farming is the practice of growing crops in vertically stacked layers.,"['https://upload.wikimedia.org/wikipedia/commons/8/86/Aeroponically-grown_chives_at_The_Land.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a6/Aquaponics_with_catfish.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f0/France_Loiret_La_Bussiere_Potager_05.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/HortiPower_Racking_system_with_Grow_lights_for_Leafy_Greens.jpg']"
Labor,Not found on Wikipedia,['Image not found']
Pests,Not found on Wikipedia,['Image not found']
Water,"Water is an inorganic compound with the chemical formula H2O. It is a transparent, tasteless, odorless, and nearly colorless chemical substance, and it is the main constituent of Earth's hydrosphere and the fluids of all known living organisms (in which it acts as a solvent).","['https://upload.wikimedia.org/wikipedia/commons/9/95/200407-sandouping-sanxiadaba-4.med.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/80/2006_Global_Water_Availability.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c6/3D_model_hydrogen_bonds_in_water.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/34/Access_to_drinking_water_in_third_world.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_current_red_Asia_Australia.svg']"
Government policies,Not found on Wikipedia,['Image not found']
Sprinklers,Not found on Wikipedia,['Image not found']
Synthetic herbicides,Not found on Wikipedia,['Image not found']
Environmental pollution,Not found on Wikipedia,['Image not found']
Environmental impacts,Not found on Wikipedia,['Image not found']
Food,Food is any substance consumed by an organism for nutritional support.,"['https://upload.wikimedia.org/wikipedia/commons/4/40/Aquatic_food_web.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/Channelcat.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Foods_%28cropped%29.jpg']"
Crop yield,"In agriculture, the yield is a measurement of the amount of a crop grown, or product such as wool, meat or milk produced, per unit area of land.","['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/47/Sound-icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Veranotrigo.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/89/Wikipedia_Audio_-_Crop_Yield.wav']"
Flood irrigation,Not found on Wikipedia,['Image not found']
Animals,Not found on Wikipedia,['Image not found']
Animal husbandry practices,Not found on Wikipedia,['Image not found']
Precision farming,Not found on Wikipedia,['Image not found']
Demand,"In economics, demand is the quantity of a good that consumers are willing and able to purchase at various prices during a given time.","['https://upload.wikimedia.org/wikipedia/commons/5/55/Bills_and_coins.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Emblem-money.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg']"
Standards,Not found on Wikipedia,['Image not found']
Modern agriculture,Modern agriculture may refer to:,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Protein,Proteins are large biomolecules and macromolecules that comprise one or more long chains of amino acid residues.,"['https://upload.wikimedia.org/wikipedia/commons/2/26/225_Peptide_Bond-01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Chaperonin_1AON.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Earth_Day_Flag.png']"
Inorganic fertilizers,Not found on Wikipedia,['Image not found']
Productivity,Productivity is the efficiency of production of goods or services expressed by some measure.,"['https://upload.wikimedia.org/wikipedia/commons/d/dd/ABS-5206.0-AustralianNationalAccounts-NationalIncomeExpenditureProduct-KeyNationalAccountsAggregates-GdpPerHourWorked-Index-A2304192L.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Bills_and_coins.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Emblem-money.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Labour_productivity_levels_in_europe.svg']"
Natural sources,Not found on Wikipedia,['Image not found']
Desirable traits,Not found on Wikipedia,['Image not found']
Source,Source may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Vector_search_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Genetically modified crops,"Genetically modified crops (GM crops) are plants used in agriculture, the DNA of which has been modified using genetic engineering methods.","['https://upload.wikimedia.org/wikipedia/commons/f/f7/Btcornafrica.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Foodlogo2.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/Genetic_engineering_logo.png', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Gmo_acreage_world_2009.PNG', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Dairy products,Not found on Wikipedia,['Image not found']
Greenhouse gas emissions,"Greenhouse gas emissions from human activities strengthen the greenhouse effect, contributing to climate change.","['https://upload.wikimedia.org/wikipedia/commons/1/16/1990-_Annual_greenhouse_gas_emissions_-_U.S._-_line_chart.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/2019_Greenhouse_gas_emissions_per_capita_by_region_-_variwide_bar_chart_-_IPCC_AR6_WG3_-_Fig_SPM.2c.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/20210626_Variwide_chart_of_greenhouse_gas_emissions_per_capita_by_country.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/20210703_Variwide_chart_of_greenhouse_gas_emissions_per_capita_by_country_%28includes_OTHER%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/20210818_Greenhouse_gas_emissions_by_income_category_-_UN_Emissions_Gap_Report.svg']"
Drought-resistant crops,Not found on Wikipedia,['Image not found']
Nitrogen,Nitrogen is the chemical element with the symbol N and atomic number 7.,"['https://upload.wikimedia.org/wikipedia/commons/4/48/A_cylinder_container%2C_containing_liquid_nitrogen.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/91/Borazin_Mesomers1.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/Buckminsterfullerene-perspective-3D-balls.png', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Earth-moon.jpg']"
Synthetic fertilizers,Not found on Wikipedia,['Image not found']
Eggs,Not found on Wikipedia,['Image not found']
Regions,Not found on Wikipedia,['Image not found']
Optimize,Not found on Wikipedia,['Image not found']
Breeding,"Breeding is sexual reproduction that produces offspring, usually animals or plants.","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Altering natural flow of rivers,Not found on Wikipedia,['Image not found']
Environment,Environment most often refers to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Livestock,"Livestock are the domesticated animals raised in an agricultural setting to provide labor and produce diversified products for consumption such as meat, eggs, milk, fur, leather, and wool.","['https://upload.wikimedia.org/wikipedia/commons/e/e8/20150728_xl_P1000804_Leck_mich_Zaertlichkeit_der_Rinder.JPG', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Animal_transport_6.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/18/Arjuna.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/15/BUFFALO159.JPG', 'https://upload.wikimedia.org/wikipedia/commons/5/56/Balinese_cow.JPG']"
New fertilizers,Not found on Wikipedia,['Image not found']
Farming,Not found on Wikipedia,['https://upload.wikimedia.org/wikipedia/commons/3/31/Redirect_arrow_without_text.svg']
Soil fertility,"Soil fertility refers to the ability of soil to sustain agricultural plant growth, i.e.","['https://upload.wikimedia.org/wikipedia/commons/e/ea/Desert_East_of_Birdsville_-_panoramio_%283%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e5/Global_soils_map_USDA.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f4/Leaf_1_web.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Soil_Horizons.svg']"
Domestic animals,Not found on Wikipedia,['Image not found']
Ethical treatment,Not found on Wikipedia,['Image not found']
Potassium,Potassium is the chemical element with the symbol K (from Neo-Latin kalium) and atomic number 19.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a3/Cubic-body-centered.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Cornwall.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b8/Flammenf%C3%A4rbungK.png', 'https://upload.wikimedia.org/wikipedia/commons/a/a1/GHS-pictogram-acid.svg']"
Lakes,Not found on Wikipedia,['Image not found']
Over-irrigation,Not found on Wikipedia,['Image not found']
Efficient irrigation techniques,Not found on Wikipedia,['Image not found']
Agriculture,"Agriculture encompasses crop and livestock production, aquaculture, fisheries and forestry for food and non-food products.","['https://upload.wikimedia.org/wikipedia/commons/4/46/1846_-_Anti-Corn_Law_League_Meeting.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Agricultural_output_of_China.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3c/An_example_of_slash_and_burn_agriculture_practice_Thailand.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Baumwoll-Erntemaschine_auf_Feld.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Biogas.jpg']"
Organic farming practices,Not found on Wikipedia,['Image not found']
Underground aquifers,Not found on Wikipedia,['Image not found']
Modern technologies,Not found on Wikipedia,['Image not found']
Manure,Manure is organic matter that is used as organic fertilizer in agriculture.,"['https://upload.wikimedia.org/wikipedia/commons/d/d6/ASC_Leiden_-_W.E.A._van_Beek_Collection_-_Dogon_agriculture_05_-_The_women_of_a_neighborhood_ward_with_manure_on_their_way_to_the_field_of_one_of_them%2C_Tireli%2C_Mali_1990.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c2/Hestem%C3%B8j.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Manure_pools_in_Haikou_01.jpg']"
Essential nutrients,Not found on Wikipedia,['Image not found']
Agricultural biotechnology,"Agricultural biotechnology, also known as agritech, is an area of agricultural science involving the use of scientific tools and techniques, including genetic engineering, molecular markers, molecular diagnostics, vaccines, and tissue culture, to modify living organisms: plants, animals, and microorganisms.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/People_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Symbol_portal_class.svg']"
Agricultural economics,Agricultural economics is an applied field of economics concerned with the application of economic theory in optimizing the production and distribution of food and fiber products.,"['https://upload.wikimedia.org/wikipedia/commons/5/55/Bills_and_coins.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f3/Emblem-money.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/af/President_Coolidge_veto_of_McNary%E2%80%93Haugen_Farm_Relief_Bill_cartoon.jpg']"
Drip irrigation,"Drip irrigation or trickle irrigation is a type of micro-irrigation system that has the potential to save water and nutrients by allowing water to drip slowly to the roots of plants, either from above the soil surface or buried below the surface.","['https://upload.wikimedia.org/wikipedia/commons/c/c4/Banana_Drip_Irrigation_At_Chinawal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Button_dripper.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/06/Dianthus_caryophyllus_Colori_Joy_%28p%29_2005-12-04.JPG', 'https://upload.wikimedia.org/wikipedia/commons/8/83/Drip_Irrigation_T-tape.jpg']"
Efficiency,"Efficiency is the often measurable ability to avoid wasting materials, energy, efforts, money, and time while performing a task.","['https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Quality,Quality may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Development,Development or developing may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Aquaculture,"Aquaculture (less commonly spelled aquiculture), also known as aquafarming, is the controlled cultivation (""farming"") of aquatic organisms such as fish, crustaceans, mollusks, algae and other organisms of value such as aquatic plants (e.g.","['https://upload.wikimedia.org/wikipedia/commons/f/fa/Abalone-farm1web.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0d/Aquaculture_production%2C_OWID.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/dc/Aquaculture_production_%282019%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Aquaculturechile.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8c/Aquatir_0502013_11.JPG']"
Animal nutrition,"Animal nutrition focuses on the dietary nutrients needs of animals, primarily those in agriculture and food production, but also in zoos, aquariums, and wildlife management.",['https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']
Pigs,Not found on Wikipedia,['https://upload.wikimedia.org/wikipedia/commons/1/1b/Semi-protection-shackle.svg']
Local farming operations,Not found on Wikipedia,['Image not found']
Economic factors,Not found on Wikipedia,['Image not found']
Fertilizers,Not found on Wikipedia,['Image not found']
Crop type,Not found on Wikipedia,['Image not found']
Synthetic pesticides,Not found on Wikipedia,['Image not found']
Sustainable,Not found on Wikipedia,['Image not found']
Sources,Not found on Wikipedia,['Image not found']
Weather conditions,Not found on Wikipedia,['Image not found']
Natural fertilizers,Not found on Wikipedia,['Image not found']
Long-term health,Not found on Wikipedia,['Image not found']
Animal welfare,Animal welfare is the well-being of non-human animals.,"['https://upload.wikimedia.org/wikipedia/commons/0/03/Animal_Abuse_Battery_Cage_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/44/Wapiti_from_Wagon_Trails.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cf/FEMA_-_3634_-_Photograph_by_Leif_Skoogfors_taken_on_07-21-2001_in_West_Virginia.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Free-range-hens.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e0/Free_Range_Hens_-_geograph.org.uk_-_342791.jpg']"
Profitability,Not found on Wikipedia,['Image not found']
Sustainable farming,Not found on Wikipedia,['Image not found']
Sensors,Not found on Wikipedia,['Image not found']
Yields,Not found on Wikipedia,['Image not found']
Supply and demand,"In microeconomics, supply and demand is an economic model of price determination in a market.","['https://upload.wikimedia.org/wikipedia/commons/0/0a/AdamSmith.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/55/Bills_and_coins.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2f/Capitalismlogo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/20/Cournotdemand.gif']"
Prices,Not found on Wikipedia,['Image not found']
Crop rotation,Crop rotation is the practice of growing a series of different types of crops in the same area across a sequence of growing seasons.,"['https://upload.wikimedia.org/wikipedia/commons/9/91/Maler_der_Grabkammer_des_Sennudem_001.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Veranotrigo.jpg']"
Disease resistance,Disease resistance is the ability to prevent or reduce the presence of diseases in otherwise susceptible hosts.,['Image not found']
Animal health management,Not found on Wikipedia,['Image not found']
Environmental impact,Not found on Wikipedia,['Image not found']
Compost,"Compost is a mixture of ingredients used as plant fertilizer and to improve soil's physical, chemical, and biological properties.","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2f/Aeration_floor.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/Bedrijfsafval.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/de/CVRD6windrow.matureing.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/CVRD7windrow.turner.jpg']"
Maximize yield of animal products,Not found on Wikipedia,['Image not found']
Sustainable agriculture,"Sustainable agriculture is farming in sustainable ways meeting society's present food and textile needs, without compromising the ability for current or future generations to meet their needs.","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/Asia_Rice_paddy.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/82/Bullocks_Plough.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg']"
Soil health,Soil health is a state of a soil meeting its range of ecosystem functions as appropriate to its environment.,"['https://upload.wikimedia.org/wikipedia/commons/2/2f/1-s2.0-S2351989420305680-gr1_lrg.jpg', 'Image not found', 'https://upload.wikimedia.org/wikipedia/commons/b/b8/Soil_profile.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/db/Symbol_list_class.svg']"
Treatment,Treatment may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Vector_search_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Cover crops,Not found on Wikipedia,['Image not found']
Groundwater resources,Not found on Wikipedia,['Image not found']
Livestock farming,Not found on Wikipedia,['Image not found']
Water resources,"Water resources are natural resources of water that are potentially useful for humans, for example as a source of drinking water supply or irrigation water.","['https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Drinking_water.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/22/Global_Values_of_Water_Resources_and_Water_Use.jpg']"
GPS-guided tractors,Not found on Wikipedia,['Image not found']
Organic farming,"Organic farming, also known as ecological farming or biological farming, is an agricultural system that uses fertilizers of organic origin such as compost manure, green manure, and bone meal and places emphasis on techniques such as crop rotation and companion planting.","['https://upload.wikimedia.org/wikipedia/commons/0/01/Chloroxylon_from_India.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e6/Cook_organic%2C_not_the_planet%2C_2014_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Ecologically_grown_vegetables.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d6/Growth_of_organic_farmland_since_2000.png']"
Soil salinization,Not found on Wikipedia,['Image not found']
Climate,"Climate is the long-term weather pattern in a region, typically averaged over 30 years.","['https://upload.wikimedia.org/wikipedia/commons/e/e0/Change_in_Average_Temperature_With_Fahrenheit.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/Climate_change_icon.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b5/Cumulus_clouds_in_fair_weather.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/0/08/Global_Temperature_And_Forces_With_Fahrenheit.svg']"
Prevention,Prevention may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Poultry,"Poultry () are domesticated birds kept by humans for the purpose of harvesting useful animal products such as meat, eggs or feathers, and the practice of raising poultry is known as poultry farming.","['https://upload.wikimedia.org/wikipedia/commons/9/9e/3_Japanese_quails_less_than_1_year_old.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/64/Battery-farm.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Bronzepute_04.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Cockfight_Santangelo_MAN_Napoli.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Organic products,Not found on Wikipedia,['Image not found']
Research,"Research is ""creative and systematic work undertaken to increase the stock of knowledge"".","['https://upload.wikimedia.org/wikipedia/commons/f/f5/Alcator_C-Mod.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Aristotle_Altemps_Inv8575.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Method of farming,Not found on Wikipedia,['Image not found']
Farming practices,Not found on Wikipedia,['Image not found']
Fiber,Fiber or fibre (from Latin: fibra) is a natural or artificial substance that is significantly longer than it is wide.,"['https://upload.wikimedia.org/wikipedia/commons/9/9a/Alpackaull.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Emojione_1F458.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/Fibreoptic.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/Kapok_seeds_I_IMG_8004.jpg']"
Organic fertilizers,Not found on Wikipedia,['Image not found']
Precision farming techniques,Not found on Wikipedia,['Image not found']
They,"In Modern English, they is a third-person pronoun relating to a grammatical subject.","['https://upload.wikimedia.org/wikipedia/commons/7/75/En-us-their.ogg', 'https://upload.wikimedia.org/wikipedia/commons/7/7a/En-us-theirs.ogg', 'https://upload.wikimedia.org/wikipedia/commons/2/25/En-us-them.ogg', 'https://upload.wikimedia.org/wikipedia/commons/5/5a/En-us-themselves.ogg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/En-us-they.ogg']"
Plant growth,Not found on Wikipedia,['Image not found']
Genetics,"Genetics is the study of genes, genetic variation, and heredity in organisms.","['https://upload.wikimedia.org/wikipedia/commons/9/98/Biochemistry%2C_genetics_and_molecular_biology.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Blending_Inheritance.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Conventional agriculture,Not found on Wikipedia,['Image not found']
