Entity,Definition,Images
Branch,"A branch, sometimes called a ramus in botany, is a woody structural member connected to the central trunk of a tree (or sometimes a shrub).","['https://upload.wikimedia.org/wikipedia/commons/d/df/Branches_%28DSC_0326%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a9/Kameldornbaum_Sossusvlei.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/Leafless_branches_and_cloudy_sky_North_of_%C3%89tangs_Chabots_in_Auderghem%2C_Belgium_%28DSCF2576%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Strom_roka_borovica_velke_borove_03.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Tree_Leaves.JPG']"
L3J,Not found on Wikipedia,['Image not found']
Body part,A body part is a part of an animal body.,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Reflecting light,Not found on Wikipedia,['Image not found']
Mass,Mass is an intrinsic property of a body.,"['https://upload.wikimedia.org/wikipedia/commons/e/e8/Apollo_15_feather_and_hammer_drop.ogv', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Cavendish_Experiment.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/63/El_pesado_del_coraz%C3%B3n_en_el_Papiro_de_Hunefer.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/02/Falling_ball.jpg']"
Milliliter,Not found on Wikipedia,['Image not found']
Iodide salt,Not found on Wikipedia,['Image not found']
Philip II of Spain,"Philip II (21 May 1527 – 13 September 1598), also known as Philip the Prudent (Spanish: Felipe el Prudente), was King of Spain from 1556, King of Portugal from 1580, and King of Naples and Sicily from 1554 until his death in 1598.","['https://upload.wikimedia.org/wikipedia/commons/e/e3/Alonso_S%C3%A1nchez_Coello_-_Felipe_II_como_Rey_de_Portugal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fe/Anthonis_Mor_001.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/98/Anthony_I_of_Portugal.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/Arms-of-Luxembourg.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5b/Arms_of_the_Count_of_Luxembourg.svg']"
Granulated salt,Not found on Wikipedia,['Image not found']
Puin,Puin may refer to:,['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg']
Tea leaf,""" Tea Leaf"" used in Cockney rhyming slang for `Thief`",['Image not found']
Promi,Not found on Wikipedia,['Image not found']
Frictional force,Not found on Wikipedia,['Image not found']
Cabbage,"Cabbage, comprising several cultivars of Brassica oleracea, is a leafy green, red (purple), or white (pale green) biennial plant grown as an annual vegetable crop for its dense-leaved heads.","['https://upload.wikimedia.org/wikipedia/commons/a/a6/Brassica_oleracea_Helgoland1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/70/Cabbage.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6f/Cabbage_and_cross_section_on_white.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Cabbages_Green_and_Purple_2120px.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2e/Chou_1.jpg']"
Types of food,Not found on Wikipedia,['Image not found']
Filter paper,Filter paper is a semi-permeable paper barrier placed perpendicular to a liquid or air flow.,"['https://upload.wikimedia.org/wikipedia/commons/3/3b/Air_filter%2C_opel_astra%282%29.JPG', 'https://upload.wikimedia.org/wikipedia/commons/3/32/Chromatography_paper.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/Engine_oil_filter_cutaway.JPG', 'https://upload.wikimedia.org/wikipedia/commons/d/df/Filter_paper_840_3x3_copy.jpg']"
Plants and animals in environment,Not found on Wikipedia,['Image not found']
Theory,"A theory is a rational type of abstract thinking about a phenomenon, or the results of such thinking.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikibooks-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/24/Wikinews-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg']"
International System of Units,"The  International System of Units, known by the international abbreviation SI in all languages: 125 : iii  and sometimes pleonastically as the SI system, is the modern form: 117  of the metric system and the world's most widely used system of measurement.: 123   Established and maintained by the General Conference on Weights and Measures (CGPM), it is the only system of measurement with an official status in nearly every country in the world, employed in science, technology, industry, and everyday commerce.","['https://upload.wikimedia.org/wikipedia/commons/0/0c/981ms2.png', 'https://upload.wikimedia.org/wikipedia/commons/e/e4/Alter_Grenzstein_Pontebba_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9b/Carl_Friedrich_Gauss.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b9/CubeLitre.svg']"
Dust,Dust is made of fine particles of solid matter.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/16/Debris_netting.JPG', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Domesticdustonaribbon.png', 'https://upload.wikimedia.org/wikipedia/commons/3/34/Dust-storm-Texas-1935.png', 'https://upload.wikimedia.org/wikipedia/commons/8/81/Dust2017.png']"
Brick house,Not found on Wikipedia,['Image not found']
Man to lift the drum,Not found on Wikipedia,['Image not found']
Forward motion,Not found on Wikipedia,['Image not found']
Thermal conductivity,The thermal conductivity of a material is a measure of its ability to conduct heat.,"['https://upload.wikimedia.org/wikipedia/commons/0/00/Coloured_ceramic_thermal_barrier_coating_on_exhaust_component.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'Image not found']"
Fungus,"A fungus (PL: fungi or funguses) is any member of the group of eukaryotic organisms that includes microorganisms such as yeasts and molds, as well as the more familiar mushrooms.","['https://upload.wikimedia.org/wikipedia/commons/4/47/02_01_groups_of_Fungi_%28M._Piepenbring%29.png', 'https://upload.wikimedia.org/wikipedia/commons/3/36/Aecidium_magnellanicum.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Amanita_phalloides_1.JPG', 'https://upload.wikimedia.org/wikipedia/commons/8/86/Arbuscular_mycorrhiza_microscope.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Armillaria_ostoyae_MO.jpg']"
Rashed,Not found on Wikipedia,['Image not found']
Vehicle,A vehicle (from Latin  vehiculum) is a machine that transports people or cargo.,"['https://upload.wikimedia.org/wikipedia/commons/6/68/2018_Honda_Jazz_%28GK5_MY18%29_VTi-S_hatchback_%282018-08-06%29_01.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/2d/Azure%2C_a_bend_Or.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/China_E-bike.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/Crystal_Clear_app_linneighborhood.svg']"
Nucleoplast,Not found on Wikipedia,['Image not found']
Populus,"Populus is a genus of 25–30 species of deciduous flowering plants in the family Salicaceae, native to most of the Northern Hemisphere.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/Four_Poplars_in_four_seasons.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/a4/Heinolan_tsaarinpoppeli.jpg', 'Image not found', 'https://upload.wikimedia.org/wikipedia/commons/3/34/Lapo_gyslos.jpeg']"
Circulatory system,"The blood circulatory system is a system of organs that includes the heart, blood vessels, and blood which is circulated throughout the entire body of a human or other vertebrate.","['https://upload.wikimedia.org/wikipedia/commons/f/f2/2101_Blood_Flow_Through_the_Heart.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/49/2105_Capillary_Bed.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/2119_Pulmonary_Circuit.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Arteria-lusoria_MRA_MIP.gif', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Blood_oxygenation_to_the_pulmonary_and_systemic_circulation.svg']"
Konami,"Konami Group Corporation (commonly known as Konami) is a Japanese multinational video game and entertainment company headquartered in Chūō, Tokyo.","['https://upload.wikimedia.org/wikipedia/commons/a/a9/DanceDanceRevolution_White_Machine_with_DDR_A_installed.png', 'https://upload.wikimedia.org/wikipedia/commons/e/ed/Decrease2.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Japan.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/Increase2.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2a/Industry5.svg']"
Lens,A lens is a transmissive optical device that focuses or disperses a light beam by means of refraction.,"['https://upload.wikimedia.org/wikipedia/commons/b/b3/Astigmatism.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/37/Barlow_lens.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/63/Barrel_distortion.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d8/BiconvexLens.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Chromatic_aberration_lens_diagram.svg']"
Compound leaf,Not found on Wikipedia,['Image not found']
Vmegar,Not found on Wikipedia,['Image not found']
Experimentation,Not found on Wikipedia,['Image not found']
Petroleum,"Petroleum, also known as crude oil, or simply oil, is a naturally occurring yellowish-black liquid mixture of mainly hydrocarbons, and is found in geological formations.","['https://upload.wikimedia.org/wikipedia/commons/f/f0/2014_Petroleum_Countries_Export_Treemap.png', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/A1_Houston_Office_Oil_Traders_on_Monday.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a5/Alkene_General_Formula_V.1.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Ambox_current_red_Americas.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/28/Bitumen.jpg']"
Sour wine,Not found on Wikipedia,['Image not found']
Amoeba,"An amoeba (; less commonly spelled ameba or amœba; plural am(o)ebas or am(o)ebae ), often called an amoeboid, is a type of cell or unicellular organism with the ability to alter its shape, primarily by extending and retracting pseudopods.","['https://upload.wikimedia.org/wikipedia/commons/a/a6/Ammonia_tepida.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Amoeba_collage.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/08/Amoeba_proteus_with_many_pseudopodia.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Der_Kleine_Proteus_from_Roesel.jpg']"
Intelligence,"Intelligence has been defined in many ways: the capacity for abstraction, logic, understanding, self-awareness, learning, emotional knowledge, reasoning, planning, creativity, critical thinking, and problem-solving.","['https://upload.wikimedia.org/wikipedia/commons/5/57/Chimpanzee_and_stick.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6c/Psi2.svg']"
Watering,Not found on Wikipedia,['Image not found']
Sabin Hood,Not found on Wikipedia,['Image not found']
Electric guitar,"An electric guitar is a guitar that requires external amplification in order to be heard at typical performance volumes, unlike a standard acoustic guitar.","['https://upload.wikimedia.org/wikipedia/commons/b/b0/1966_Fender_Telecaster_%28SN159266%29_neck_joint_plate.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c1/Bridge_string_thru_body.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a5/Electric_Guitar_%28Superstrat_based_on_ESP_KH_-_vertical%29_-_with_hint_lines_and_numbers.png', 'https://upload.wikimedia.org/wikipedia/commons/1/14/Electric_Guitar_Store.jpg']"
Tell another mend,Not found on Wikipedia,['Image not found']
Developmental stage of the human body,Not found on Wikipedia,['Image not found']
Room length,Not found on Wikipedia,['Image not found']
Diagram,A diagram is a symbolic representation of information using visualization techniques.,"['https://upload.wikimedia.org/wikipedia/commons/9/98/Alphagraphen.png', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Automotive_diagrams_01_En.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/88/Gear_pump_exploded.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Graphtestone.svg']"
Indecent drug,Not found on Wikipedia,['Image not found']
Wildlife,"Wildlife refers to undomesticated animal species, but has come to include all organisms that grow or live wild in an area without being introduced by humans.","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b9/Amazonie_deforestation.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/44/Wapiti_from_Wagon_Trails.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Earth_Day_Flag.png', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Hawk_eating_prey.jpg']"
Shape,"A shape or figure is a graphical representation of an object or its external boundary, outline, or external surface, as opposed to other properties such as color, texture, or material type.","['https://upload.wikimedia.org/wikipedia/commons/b/b9/Area.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Basic_shapes.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Plastic_vormenstoof_of_puzzelbal_van_%E2%80%9CTupperware_Toy%E2%80%9D%2C_objectnr_83212.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/eb/Polygon_types.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/5d/Similar-geometric-shapes.svg']"
Ibn Saud,"Abdulaziz bin Abdul Rahman Al Saud (Arabic: عبد العزيز بن عبد الرحمن آل سعود, romanized: ʿAbd al ʿAzīz bin ʿAbd ar Raḥman Āl Suʿūd; 15 January 1875 – 9 November 1953), known in the West as Ibn Saud (Arabic: ابن سعود; Ibn Suʿūd), was an Arab tribal, political, and religious leader who founded Saudi Arabia – the third Saudi state – and reigned as its first king from 23 September 1932 until his death in 1953.","['https://upload.wikimedia.org/wikipedia/commons/c/cb/Abdul_Rahman_bin_Faisal_bin_Turki_Al_Saud.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Abdulaziz_ibn_Muhammad_Al_Saud_with_Mubarak_Al-Sabah_in_Kuwait%2C_1910.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/ESP_Gran_Cruz_Merito_Militar_%28Distintivo_Blanco%29_pasador.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/45/Emblem_of_Saudi_Arabia_%282%29.svg']"
Drawer,A drawer  (listen) DROR is a box-shaped container inside a piece of furniture that can be pulled out horizontally to access its contents.,"['https://upload.wikimedia.org/wikipedia/commons/4/40/Bottom_mounting_wheel_drawer_slide_rails_-_50_cm_-_B.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Compact_Rail.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7e/Drawer.agr.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9b/Easy_Rail.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/En-us-drawer.ogg']"
Screwdriver,"A  screwdriver is a tool, manual or powered, used for turning screws.","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Big_flat_screwdriver.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c2/ElectricScrewdriver.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Frearson_vs_Phillips.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4f/Jeweler%27s_screwdriver.jpg']"
