Entity,Definition,Images
Cactus,"A cactus (PL cacti, cactuses, or less commonly, cactus) is a member of the plant family Cactaceae (), a family comprising about 127 genera with some 1750 known species of the order Caryophyllales.","['https://upload.wikimedia.org/wikipedia/commons/9/98/Ambox_current_red.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8f/Ariocarpus_kotschoubeyanus_flor_cropped.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7c/Astrophytum_capricorne_areole.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/5c/Barrel_Cactus_Fruit_cropped.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/Barrel_cactus_with_a_view.JPG']"
Greek deity,Not found on Wikipedia,['Image not found']
Nectar,"Nectar is a sugar-rich liquid produced by plants in glands called nectaries or nectarines, either within the flowers with which it attracts pollinating animals, or by extrafloral nectaries, which provide a nutrient source to animal mutualists, which in turn provide herbivore protection.","['https://upload.wikimedia.org/wikipedia/commons/0/00/0rchideen_04.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/Ants_on_Drynaria.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/21/Australian_painted_lady_feeding_closeup.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Buckwheat_flowers_macro.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Table of battery symbols,Not found on Wikipedia,['Image not found']
Activity 2.4,Not found on Wikipedia,['Image not found']
Principle,A principle is a proposition or value that is a guide for behavior or evaluation.,"['https://upload.wikimedia.org/wikipedia/commons/a/a4/Aristoteles_Louvre.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/Socrates.png', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Socrates_BM_GR1973.03-27.16.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c5/Statua_Iustitiae.jpg']"
New Zealand,New Zealand (Māori: Aotearoa [aɔˈtɛaɾɔa]) is an island country in the southwestern Pacific Ocean.,"['https://upload.wikimedia.org/wikipedia/commons/3/3b/1863_Meeting_of_Settlers_and_Maoris_at_Hawke%27s_Bay%2C_New_Zealand.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d4/ANZAC_Day_service_at_the_National_War_Memorial_-_Flickr_-_NZ_Defence_Force_%2820%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0e/Aerial_image_of_Christchurch_suburbs_-_Flickr_-_NZ_Defence_Force_%282%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/11/Air_New_Zealand%2C_Boeing_787-9_ZK-NZE_%27All_Blacks%27_NRT_%2827091961041%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/dd/Anglophone_World.svg']"
Warmth,Not found on Wikipedia,['Image not found']
Computer location,Not found on Wikipedia,['Image not found']
Fusion power,Fusion power is a proposed form of power generation that would generate electricity by using heat from nuclear fusion reactions.,"['https://upload.wikimedia.org/wikipedia/commons/a/af/20201019_Levelized_Cost_of_Energy_%28LCOE%2C_Lazard%29_-_renewable_energy.svg', 'Image not found', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Binding_energy_curve_-_common_isotopes.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/40/Chart_of_Fusion_Approaches.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Chromosome,A chromosome is a long DNA molecule with part or all of the genetic material of an organism.,"['https://upload.wikimedia.org/wikipedia/commons/4/4b/Chromatin_Structures.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Chromosome.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/Chromosome_21.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e2/Eukaryote_DNA-en.svg']"
Decomposition,"Decomposition or rot is the process by which dead organic substances are broken down into simpler organic or inorganic matter such as carbon dioxide, water, simple sugars and mineral salts.","['https://upload.wikimedia.org/wikipedia/commons/9/9c/A_punnet_of_rotten_peaches.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/Ants_cleaning_dead_snake.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/53/Berge_naturreservat_omkullfallet_liten_tall.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/27/DecayingPeachSmall.gif']"
Odometer,"An odometer or odograph is an instrument used for measuring the distance traveled by a vehicle, such as a bicycle or car.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Han_dynasty_odometer_cart.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Hero%27s_odometer%2C_1st_century_AD%2C_Alexandria_%28reconstruction%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Hubodometer_on_a_wheel_of_a_semitrailer.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fb/Jeep_Odometer.jpg']"
Danube,"The Danube ( DAN-yoob; known by various names in other languages) is the second-longest river in Europe, after the Volga in Russia.","['https://upload.wikimedia.org/wikipedia/commons/a/a7/Ada_Kaleh.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/24/Aerial_image_of_Passau.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/87/BSicon_GRZ.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/82/BSicon_GRZal.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6e/BSicon_GRZer.svg']"
Vomiting,"Vomiting (also known as emesis and throwing up) is the involuntary, forceful expulsion of the contents of one's stomach through the mouth and sometimes the nose.Vomiting can be the result of ailments like food poisoning, gastroenteritis, pregnancy, motion sickness, or hangover; or it can be an after effect of diseases such as brain tumors, elevated intracranial pressure, or overexposure to ionizing radiation.","['https://upload.wikimedia.org/wikipedia/commons/e/e3/49-aspetti_di_vita_quotidiana%2C_vomito%2CTaccuino_Sanitatis%2C_Ca.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c9/Nationalmuseet_-_Cophenaghen_-_brygos_vomiting1.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Sea-sickness_bag%2C_Merseyside_Maritime_Museum.png']"
Table 3,Not found on Wikipedia,['Image not found']
Blood bank,A blood bank is a center where blood gathered as a result of blood donation is stored and preserved for later use in blood transfusion.,"['https://upload.wikimedia.org/wikipedia/commons/5/5a/A_A_Bogdanov.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/92/Agote_1a_transfusi%C3%B3n.jpg', 'https://upload.wikimedia.org/wikipedia/commons/5/58/Blood_Research-_Saving_Lives_%288352%29_%289759352093%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/45/Blood_Research-_Saving_Lives_%288384%29_%289759061442%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bf/Blood_bank_miss_australia.jpg']"
Diagram,A diagram is a symbolic representation of information using visualization techniques.,"['https://upload.wikimedia.org/wikipedia/commons/9/98/Alphagraphen.png', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Automotive_diagrams_01_En.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/88/Gear_pump_exploded.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Graphtestone.svg']"
Air tube,Not found on Wikipedia,['Image not found']
Cutting,"Cutting is the separation or opening of a physical object, into two or more portions, through the application of an acutely directed force.","['https://upload.wikimedia.org/wikipedia/commons/0/00/Glass_cutter.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/Scissors.jpg']"
Postcard,"A postcard or post card is a piece of thick paper or thin cardboard, typically rectangular, intended for writing and mailing without an envelope.","['https://upload.wikimedia.org/wikipedia/commons/3/34/1905DuPontMillpcardback.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Aloha_nui_cook.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1c/Austrian_Postcard_1901.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/05/Ayu1002.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Bathing_beauty_1908.jpg']"
Tap water,"Tap water (also known as faucet water, running water, or municipal water) is water supplied through a tap, a water dispenser valve.","['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ad/Clean_water_for_a_village_in_West_Lombok_%2810686572086%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Drinking_water.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
East Frisia,"East Frisia or East Friesland (German: Ostfriesland; East Frisian Low Saxon: Oostfreesland; Saterland Frisian: Aastfräislound) is a historic region in the northwest of Lower Saxony, Germany.","['https://upload.wikimedia.org/wikipedia/commons/1/13/Boat_on_Ems_in_Leer.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Coat_of_arms_of_Lower_Saxony.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e0/Flag_of_East_Frisia.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg']"
Extended education,Not found on Wikipedia,['Image not found']
Sour mouth,Not found on Wikipedia,['Image not found']
Massage,Massage is the manipulation of the body's soft tissues.,"['https://upload.wikimedia.org/wikipedia/commons/8/86/2006INGTaipeiMarathon-138.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bb/Adolfo_Farsari_-_Blind_Shampoonier.JPG', 'https://upload.wikimedia.org/wikipedia/commons/d/d5/Akmanthor.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/bc/Aqua_massage_Fargo_IMG_1198.JPG', 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Aroma_Massage.jpg']"
Lower point,Not found on Wikipedia,['Image not found']
Relaxation,"Relaxation stands quite generally for a release of tension, a return to equilibrium.","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Incandescent light bulb,"An incandescent light bulb, incandescent lamp or incandescent light globe is an electric light with a wire filament heated until it glows.","['https://upload.wikimedia.org/wikipedia/commons/4/47/2200K_Spectrum.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/a0/3d_glasses_red_cyan.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/46/BCincandescentlamp.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Carbonfilament.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Quality control,Quality control (QC) is a process by which entities review the quality of all factors involved in production.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/cc/Fotothek_df_n-04_0000019.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Nuvola_apps_edu_mathematics_blue-p.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/62/PD-icon.svg']"
Tooth count,Not found on Wikipedia,['Image not found']
Vermi-processing toilet,Not found on Wikipedia,['Image not found']
Newton's disc,Not found on Wikipedia,['Image not found']
Winnipeg,Winnipeg ( (listen)) is the capital and largest city of the province of Manitoba in Canada.,"['https://upload.wikimedia.org/wikipedia/commons/7/7c/2005_Winnipeg_Flood.JPG', 'https://upload.wikimedia.org/wikipedia/commons/6/68/CFB_Winnipeg_17_Wing_sign.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7f/CMHR_and_Winnipeg_Downtown_%28wide_aspect%29.png', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/Cbcwinnipeg_building2010.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4d/Centennial_Concert_Hall.jpg']"
Microorganism,"A microorganism, or microbe, is an organism of microscopic size, which may exist in its single-celled form or as a colony of cells.","['https://upload.wikimedia.org/wikipedia/commons/3/3c/Albert_Edelfelt_-_Louis_Pasteur_-_1885.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Anthonie_van_Leeuwenhoek_%281632-1723%29._Natuurkundige_te_Delft_Rijksmuseum_SK-A-957.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/Biofermentor.jpeg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/DNA_simple.svg']"
Drumstick,Drumstick may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Brush,"A brush is a common tool with bristles, wire or other filaments.","['https://upload.wikimedia.org/wikipedia/commons/7/7d/Bog_brush.JPG', 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Cleaning_brushes.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/67/Makeup_weapons_Brushes_.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Crystallization,"Crystallization is the process by which solid forms, where the atoms or molecules are highly organized into a structure known as a crystal.","['https://upload.wikimedia.org/wikipedia/commons/e/ee/1-cooling-crystallizer-schladen.JPG', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f9/ChemSepProcDiagram.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/77/CitricAcid_Crystalisation_Timelapse.ogv', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Dependent on others for their nutrition,Not found on Wikipedia,['Image not found']
Heart expansion,Not found on Wikipedia,['Image not found']
Recording,Not found on Wikipedia,['Image not found']
Minute,"The minute is a unit of time usually equal to 1/60 (the first sexagesimal fraction) of an hour, or 60 seconds.","['https://upload.wikimedia.org/wikipedia/commons/6/63/Aleutian_Islands_with_180th_meridian_and_International_Date_Line_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/International_System_Of_Units_Logo_.png', 'https://upload.wikimedia.org/wikipedia/commons/3/30/International_System_Of_Units_Logo_.png', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/La_minute_%28315630347%29.jpg']"
Xanthium,"Xanthium (cocklebur) is a genus of flowering plants in the tribe Heliantheae within the family Asteraceae, native to the Americas and eastern Asia and some parts of south  Asia .","['https://upload.wikimedia.org/wikipedia/commons/7/75/Arctium_minus_2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9e/Cocklebur_Seedling_West_Texas_2003.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/74/Red_Pencil_Icon.png', 'https://upload.wikimedia.org/wikipedia/commons/8/80/Szerbt%C3%B6vis.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/XanthiumAlbinum2.jpg']"
Converging lens,Not found on Wikipedia,['Image not found']
Electrical circuit,Not found on Wikipedia,['Image not found']
Measurement tape,Not found on Wikipedia,['Image not found']
Dung,Dung most often refers to animal feces.,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Tibetan,Tibetan may mean:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Positive quantity,Not found on Wikipedia,['Image not found']
Milk of magnesia 5,Not found on Wikipedia,['Image not found']
Riga,"Riga (; Latvian: Rīga [ˈriːɡa] (listen), Livonian: Rīgõ) is the capital and largest city of Latvia and is home to 605,802 inhabitants which is a third of Latvia's population.","['https://upload.wikimedia.org/wikipedia/commons/8/8b/0871_LVA_Riga_art_noveau_relief_meistaru_iela_10.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/0872_LVA_Riga_art_noveau_relief.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/16-08-31-%C5%A0koda_24Tr_Irisbus_Riga-RR2_4505.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/A._%C4%8Caka_iela_26_R%C4%ABga_03.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1e/Alberta_iel%C4%81_12_20120728-05.JPG']"
Sunlight,"Sunlight is a portion of the electromagnetic radiation given off by the Sun, in particular infrared, visible, and ultraviolet light.","['https://upload.wikimedia.org/wikipedia/commons/b/b4/Apollo_7_Florida.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Cape_may.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/D%C3%BClmen%2C_G%C3%B6versheide_--_2015_--_7718-22.jpg']"
Transport of materials in plants,Not found on Wikipedia,['Image not found']
Respiratory system,"The respiratory system (also respiratory apparatus, ventilatory system) is a biological system consisting of specific organs and structures used for gas exchange in animals and plants.","['https://upload.wikimedia.org/wikipedia/commons/9/9d/Altitude_and_air_pressure_%26_Everest.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/Alveolar_Wall.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Alveolar_air.png', 'https://upload.wikimedia.org/wikipedia/commons/0/09/Alveolus.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/43/Bird%27s_respiratory_system.jpg']"
Heater,Not found on Wikipedia,['Image not found']
Fertilisation,"Fertilisation or fertilization (see spelling differences), also known as generative fertilisation, syngamy and impregnation, is the fusion of gametes to give rise to a new individual organism or offspring and initiate its development.","['https://upload.wikimedia.org/wikipedia/commons/8/83/Acrosome_reaction_diagram_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Bisexuality_symbol_%28bold%2C_color%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/DEV035048A.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/Frogspawn_closeup.jpg']"
The use of the kink,Not found on Wikipedia,['Image not found']
Digestive juice,Not found on Wikipedia,['Image not found']
Forest regeneration,Not found on Wikipedia,['Image not found']
National Council of Educational,Not found on Wikipedia,['Image not found']
Sculpture,Sculpture is the branch of the visual arts that operates in three dimensions.,"['https://upload.wikimedia.org/wikipedia/commons/e/ec/%27David%27_by_Michelangelo_Fir_JBU005_denoised.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/%27Dying_Slave%27_Michelangelo_JBU001.jpg', 'https://upload.wikimedia.org/wikipedia/commons/2/20/028MAD_Sphinx.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/c4/02_Basilique_Ste-Marie-Madeleine_de_V%C3%A9zelay_-_Tympan.jpg', 'https://upload.wikimedia.org/wikipedia/commons/c/cf/0_Apollon_du_Belv%C3%A9d%C3%A8re_-_Cortile_Ottagono_-_Museo_Pio-Clementino_-_Vatican_%282%29.JPG']"
X-axis,Not found on Wikipedia,['Image not found']
Animal nutrition,"Animal nutrition focuses on the dietary nutrients needs of animals, primarily those in agriculture and food production, but also in zoos, aquariums, and wildlife management.",['https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']
Green cover,Not found on Wikipedia,['Image not found']
River,"A river is a natural flowing watercourse, usually freshwater stream, flowing on the surface or inside caves towards another waterbody at a lower elevation, such as an ocean, sea, bay, lake, wetland, or another river.","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Amazonrivermap.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Braine-le-Ch%C3%A2teau_JPG02.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Cross-section_of_a_river_channel_and_its_valley.webp']"
Change,Change or Changing may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Off,Off or OFF may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Manure,Manure is organic matter that is used as organic fertilizer in agriculture.,"['https://upload.wikimedia.org/wikipedia/commons/d/d6/ASC_Leiden_-_W.E.A._van_Beek_Collection_-_Dogon_agriculture_05_-_The_women_of_a_neighborhood_ward_with_manure_on_their_way_to_the_field_of_one_of_them%2C_Tireli%2C_Mali_1990.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c2/Hestem%C3%B8j.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Manure_pools_in_Haikou_01.jpg']"
Single-parent plant,Not found on Wikipedia,['Image not found']
Pottery,"Pottery is the process and the products of forming vessels and other objects with clay and other raw materials, which are fired at high temperatures to give them a hard and durable form.","['https://upload.wikimedia.org/wikipedia/commons/2/25/-2019-09-19_A_blue_Denby_pottery_water_jug%2C_Cromer_%281%29.JPG', 'https://upload.wikimedia.org/wikipedia/commons/9/91/001117_15-44-2002-To-grupper-rosa-Qajar-Fliser2.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/78/3310_-_Athens_-_Sto%C3%A0_of_Attalus_Museum_-_Mould_-_Photo_by_Giovanni_Dall%27Orto%2C_Nov_9_2009_%28cropped%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/16/Agateware_Seaton_Barrel_by_John_Gavin_-_ABDMS002585.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/16/Altamura_Painter_-_Red-Figure_Calyx_Krater_-_Walters_48262_-_Side_A.jpg']"
