entity1,entity_1_type,entity2,entity_2_type,relation,sentence
Small matter,matter,Matter,material substance,subclass of,"From the above three activities (1.3, 1.4 and 1.5), we can conclude the following: Fig. 1.2: Estimating how small are the particles of matter.
"
Light,electromagnetic wave,Darkness,measured quantity,opposite of,"With every dilution, though the colour becomes light, it is still visible.
"
L,UCUM derived unit,Volume,physical quantity,measured physical quantity,"This experiment shows that just a few crystals of potassium permanganate can colour a large volume of water (about 1000 L).
"
Potassium permanganate,None,Crystal,chemical substance,instance of,"So we conclude that there must be millions of tiny particles in just one crystal of potassium permanganate, which keep on dividing themselves into smaller and smaller particles.
"
Dettol,None,Potassium permanganate,None,different from,"The same activity can be done using 2 ml of Dettol instead of potassium permanganate.
"
Particle,physical object,Matter,material substance,part of,"The particles of matter are very small – they are small beyond our imagination!!!! 1.2 Characteristics of Particles of Matter 1.2.1 PARTICLES OF MATTER HAVE SPACE BETWEEN THEM In activities 1.1 and 1.2 we saw that particles of sugar, salt, Dettol, or potassium permanganate got evenly distributed in water.
"
Nimbu paani,tea,Tea,tea,subclass of,"Similarly, when we make tea, coffee or lemonade (nimbu paani ), particles of one type of matter get into the spaces between particles of the other.
"
Force,physical quantity,Mass,physical quantity,calculated from,"Rationalised 2023-24  MATTER IN OUR SURROUNDINGS 3 • If we consider each student as a particle of matter, then in which group the particles held each other with the maximum force?
"
Hammer,tool,Breaking,process,use,"• Try breaking them by hammering, cutting or stretching.
"
Cutting water,activity,Water,None,uses,"Activity ______________ 1.8 • Take some water in a container, try cutting the surface of water with your fingers.
"
Surface,surface,Water,None,subclass of,"• Were you able to cut the surface of water?
"
Earth,inner planet,Sun,G-type main-sequence star,parent astronomical body,"• What could be the reason behind the surface of water remaining together?
"
Force,physical quantity,Mass,physical quantity,has effect,"The above three activities (1.6, 1.7 and 1.8) suggest that particles of matter have force acting between them.
"
Gravity,physical phenomenon,Force,physical quantity,instance of,"This force keeps the particles together.
"
Force,physical quantity,Strength,physical quantity,different from,"The strength of this force of attraction varies from one kind of matter to another.
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Matter,material substance,Material,product,subclass of,"Which of the following are matter?
"
Perfume,nan,Odor,physical phenomenon,subclass of,"Chair, air, love, smell, hate, almonds, thought, cold, lemon water, smell of perfume.
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
Cooking,food preparation,Cold food,food,different from,"Give reasons for the following observation: The smell of hot sizzling food reaches you several metres away, but to get the smell from cold food you have to go close.
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Swimming pool,sports venue,Water,None,subclass of,"A diver is able to cut through water in a swimming pool.
"
Physical property,property,Matter,material substance,part of,"Which property of matter does this observation show?
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Particle,physical object,Matter,material substance,part of,"What are the characteristics of the particles of matter?
"
Kinetic energy,physical quantity,Particle,type of quantum particle,part of,"Particles of matter are continuously moving, that is, they possess what we call the kinetic energy.
"
Higher temperature,temperature,Temperature,scalar quantity,subclass of,"As the temperature rises, particles move faster.
"
Kinetic energy,physical quantity,Temperature,scalar quantity,has effect,"So, we can say that with increase in temperature the kinetic energy of the particles also increases.
"
Intermolecular interaction,physical process,Particle,physical object,has effect,"In the above three activities we observe that particles of matter intermix on their own with each other.
"
Intermixture,None,Diffusion,physical process,part of,"This intermixing of particles of two different types of matter on their own is called diffusion.
"
Thermal,convection,Heating,physical phenomenon,has effect,"We also observe that on heating, diffusion becomes faster.
"
Idu people,ethnic group,Mishmi people,ethnic group,part of,"1.2.3 PARTICLES OF MATTER ATTRACT EACH OTHER Activity ______________ 1.6 • Play this  game in the field— make four groups and form human chains as suggested: • The first group should hold each other from the back and lock arms like Idu-Mishmi dancers (Fig. 1.3).
"
Human chain,human chain,Human chain,social group,instance of,"Fig. 1.3 • The second group should hold hands to form a human chain.
"
Finger tip,None,Finger,digit,part of,"• The third group should form a chain by touching each other with only their finger tips.
"
John Milton,human,The Mummy,written work,notable work,"• Now, the fourth group of students should run around and try to break the three human chains one by one  into as many small groups as possible.
"
States of matter,None,Matter,material substance,facet of,"Q Rationalised 2023-24  SCIENCE 4 1.3 States of Matter Observe different types of matter around you.
"
India,sovereign state,West Bengal,state of India,contains administrative territorial entity,"What are its different states?
"
Solid,matter,State of matter,physical property,instance of,"We can see that matter around us exists in three different states– solid, liquid and gas.
"
Particle,physical object,Matter,material substance,part of,"These states of matter arise due to the variation in the characteristics of the particles of matter.
"
State of matter,physical property,Physical property,property,subclass of,"Now, let us study about the properties of these three states of matter in detail.
"
Pencil,painting material,Sketch,painting technique,use,"• Sketch the shape of the above articles in your notebook by moving a pencil around them.
"
Shape,mathematical concept,Volume,physical quantity,part of,"• Do all these have a definite shape, distinct boundaries and a fixed volume?
"
Hanging,cause of death,Dropping,cause of death,has effect,"• What happens if they are hammered, pulled or dropped?
"
Diffuse fluid,liquid,Liquid,fluid,subclass of,"• Are these capable of diffusing into each other?
"
Force,physical quantity,Compressing,mass transfer,use,"• Try compressing them by applying force.
"
Compression compression,data compression,Data compression,data processing,subclass of,"Are you able to compress them?
"
Solid,matter,Solid,matter,subclass of,"All the above are examples of solids.
"
Solid,matter,Shape,quality,has quality,"Solids have a tendency to maintain their shape when subjected to outside force.
"
Solid,matter,Solid,matter,subclass of,"Solids may break under force but it is difficult to change their shape, so they are rigid.
"
Rubber band,sports equipment,Shape,mathematical concept,shape,"Consider the following: (a) What about a rubber band, can it change its shape on stretching?
"
Solid,matter,Solid,matter,subclass of,"Is it a solid?
"
Sugar,food,Salt,mixture,different from,"(b) What about sugar and salt?
"
Jar,container,Jar,container,subclass of,"When kept in different jars these take the shape of the jar.
"
Solid,matter,Solid,matter,subclass of,"Are they solid?
"
Sponge,taxon,Sponge,taxon,parent taxon,"(c) What about a sponge?
"
Rubber band,band,Solid,matter,subclass of,"•All the above are solids as: A rubber band changes shape under force and regains the same shape when the force is removed.
"
Force,physical quantity,Bone fracture,major trauma,has effect,"If excessive force is applied, it breaks.
"
Sugar,food,Salt,mixture,different from,"• The shape of each individual sugar or salt crystal remains fixed, whether we take it in our hand, put it in a plate or in a jar.
"
Milk,food,Drink,food,subclass of,"1.3.2 THE LIQUID STATE Activity _____________1.10 • Collect the following: (a) water, cooking oil, milk, juice, a cold drink.
"
Shape,mathematical concept,Container,tool,part of,"(b) containers of different shapes.
"
Laboratory cylinder,laboratory equipment,Laboratory,research institute,part of,"Put a 50 mL mark on these containers using a measuring cylinder from the laboratory.
"
Lebanon,sovereign state,Rome,comune of Italy,capital,"• What will happen if these liquids are spilt on the floor?
"
Litre,UCUM derived unit,Liquid,fluid,measured physical quantity,"• Measure 50 mL of any one liquid and transfer it into different containers one by one.
"
Volume,physical quantity,Volume,physical quantity,different from,"Does the volume remain the same?
"
Shape,quality,Liquid,fluid,part of,"• Does the shape of the liquid remain the same ?
"
Pouring,activity,Liquid,fluid,subclass of,"• When you pour the liquid from one container into another, does it flow easily?
"
Volume,physical quantity,Shape,mathematical concept,different from,"We observe that liquids have no fixed shape but have a fixed volume.
"
Container,tool,Tool,product,subclass of,"They take up the shape of the container in which they are kept.
"
Liquid,fluid,Fluid,substance,subclass of,"Liquids flow and change shape, so they are not rigid but can be called fluid.
"
Solid,matter,Liquid,fluid,followed by,"Refer  to activities 1.4 and 1.5 where we saw that solids and liquids can diffuse into liquids.
"
Gas,fluid,Atmosphere,gas,part of,"The gases from the atmosphere diffuse and dissolve in water.
"
Carbon dioxide,None,Oxygen,chemical element,has parts of the class,"These gases, especially oxygen and carbon dioxide, are essential for the survival of aquatic animals and plants.
"
Breathing,biological process,Survival,biological process,use,"All living creatures need to breathe for survival.
"
Breathing,biological process,Oxygen,chemical element,uses,"The aquatic animals can breathe under water due to the presence of dissolved oxygen  in water.
"
Liquid,fluid,Solid,matter,subclass of,"Thus, we may conclude that solids, liquids and gases can diffuse into liquids.
"
Liquid,fluid,Solid,matter,opposite of,"The rate of diffusion of liquids is Rationalised 2023-24  MATTER IN OUR SURROUNDINGS 5 higher than that of solids.
"
Liquid,fluid,Solid,matter,opposite of,"This is due to the fact that in the liquid state, particles move freely and have greater space between each other as compared to particles in the solid state.
"
Gas,fluid,Gas cylinder,architectural structure,part of,"1.3.3 THE GASEOUS STATE Have you ever observed a balloon seller filling a large number of balloons from a single cylinder of gas?
"
Gas cylinder,architectural structure,Gas,fluid,contains,"Ask him which gas does he have in the cylinder.
"
Syringe,tool,Natural rubber,plant material,uses,"Activity _____________1.11 • Take three 100 mL syringes and close their nozzles by  rubber corks, as shown in Fig.1.4.
"
Piston,medical term,Syringe,tool,part of,"• Remove the pistons from all the syringes.
"
Chalk,painting material,Chalk,painting material,subclass of,"• Leaving one syringe untouched, fill water in the second and pieces of chalk in the third.
"
Piston,slider-crank mechanism,Syringe,tool,part of,"• Insert the pistons back into the syringes.
"
Piston,slider-crank mechanism,Syringe,tool,connects with,"You may apply some vaseline on the pistons before inserting them into the syringes for their smooth movement.
"
Liquid,fluid,Solid,matter,opposite of,"We have observed that gases are highly compressible as compared to solids and liquids.
"
LPG cylinder,laboratory equipment,Liquefied petroleum gas,flammable gas,use,"The liquefied petroleum gas (LPG) cylinder that we get in our home for cooking or the oxygen supplied to hospitals in cylinders is compressed gas.
"
Compressed natural gas,natural gas,Natural gas,mixture,subclass of,"Compressed natural gas (CNG) is used as fuel these days in vehicles.
"
Odor,physical phenomenon,Cooking,food preparation,has cause,"We  come to know of what is being cooked in the kitchen without even entering there, by the smell that reaches our nostrils.
"
Smell,perception,Odor,physical phenomenon,has cause,"How does this smell reach us?
"
Food,disposable product,Kitchen,room,part of,"The particles of the aroma of food mix with the particles of air spread from the kitchen, reach us and even farther away.
"
Liquid,fluid,Solid,matter,subclass of,"The smell of hot cooked food reaches us in seconds; compare this with the rate of diffusion of solids and liquids.
"
Diffuse gas,gas,Gas,fluid,subclass of,"Due to high speed of particles and large space between   them, gases show the property of diffusing very fast into other gases.
"
Speed,physical quantity,Speed,physical quantity,calculated from,"In the gaseous state, the particles move about randomly at high speed.
"
Wall,building material,Building material,material,subclass of,"Due to this random movement, the particles hit each other and also the walls of the container.
"
Pressure,physical quantity,Force,physical quantity,calculated from,"The pressure exerted by the gas is because of this force exerted by gas particles per unit area on the walls of the container.
"
Piston,slider-crank mechanism,Piston,slider,has parts of the class,"In which case was the piston easily pushed in?
"
Inference,process,Observation,process,part of,"• What do you infer from your observations?
"
State of matter,physical property,State of matter,physical property,part of,"Fig.1.5: a, b and c show the magnified schematic pictures of the three states of matter.
"
State of matter,physical property,State of matter,physical property,different from,"The motion of the particles can be seen and compared in the three states of matter.
"
Thermometer,measuring instrument,Temperature,scalar quantity,measures,"Rationalised 2023-24  SCIENCE 6 1.4.1 EFFECT OF CHANGE OF TEMPERATURE Activity _____________1.12 • Take about 150 g of ice in a beaker and suspend a laboratory thermometer so that its bulb is in contact with the ice, as in Fig. 1.6.
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Density,physical quantity,Mass,physical quantity,calculated from,"The mass per unit volume of a substance is called density.
"
Density,physical quantity,Mass,physical quantity,calculated from,"(density = mass/volume).
"
Chimney,architectural structure,Exhaust,gas mixture,made from material,"Arrange the following in order of increasing density – air, exhaust from chimneys, honey, water, chalk, cotton and iron.
"
2.2,"version, edition, or translation",3.1,"version, edition, or translation",followed by,"2.
"
State of matter,physical property,State of matter,physical property,facet of,"(a) Tabulate the differences in the characterisitcs of states of matter.
"
Density,physical quantity,Kinetic energy,physical quantity,calculated from,"(b) Comment upon the following: rigidity, compressibility, fluidity, filling a gas container, shape, kinetic energy and density.
"
3.3,"version, edition, or translation",4.1,"version, edition, or translation",followed by,"3.
"
Gas,fluid,Gas vessel,storage tank,part of,"Give reasons (a) A gas fills completely the vessel in which it is kept.
"
Pressure,physical quantity,Gas,fluid,calculated from,"(b) A gas exerts pressure on the walls of the container.
"
Wooden table,table,Solid,matter,subclass of,"(c) A wooden table should be called a solid.
"
Karate,type of sport,Wood,material,uses,"(d) We can easily move our hand in air but to do the same through a solid block of wood we need a karate expert.
"
4.4.4,video game,Konami,video game developer,publisher,"4.
"
Liquids,spirit drink,Solid,matter,opposite of,"Liquids generally have lower density as compared to solids.
"
Ice,nan,Water,None,subclass of,"But you must have observed that ice floats on water.
"
England,devolved nation within the UK,London,city,capital,"Find out why.
"
Ice,nan,Solid,matter,subclass of,"We all know from our observation that water can exist in three states of matter– • solid, as ice, • liquid, as the familiar water, and • gas, as water vapour.
"
Matter,material substance,Matter,material substance,part of,"What happens inside the matter during this change of state?
"
Particle,physical object,Mass,physical quantity,part of,"What happens to the particles of matter during the change of states?
"
Bolivia,sovereign state,Sovereign state,country,instance of,"How does this change of state take place?
"
John F. Kennedy School of Government,private school,Harvard University,nan,part of,"We need answers to these questions, isn’t it?
"
Ice,nan,Water,None,subclass of,"Q (a) (b) Fig. 1.6: (a) Conversion of ice to water, (b) conversion of water to water vapour Rationalised 2023-24  MATTER IN OUR SURROUNDINGS 7 • Start heating the beaker on a low flame.
"
Melting ice,ice,Ice,nan,subclass of,"• Note the temperature when the ice starts melting.
"
Water,None,Ice,nan,opposite of,"• Note the temperature when all the ice has converted into water.
"
Liquid,fluid,Solid,matter,opposite of,"• Record your observations for this conversion of solid to liquid state.
"
Boiling water,water,Water,None,subclass of,"• Now, put a glass rod in the beaker and heat while stirring till the water starts boiling.
"
Thermometer,measuring instrument,Temperature,scalar quantity,measures,"• Keep a careful eye on the thermometer reading till most of the water has vaporised.
"
Liquid,fluid,Gas,fluid,followed by,"• Record your observations for the conversion of water in the liquid state to the gaseous state.
"
Kinetic energy,physical quantity,Temperature,scalar quantity,has effect,"On increasing the temperature of solids, the kinetic energy of the particles increases.
"
Kinetic energy,physical quantity,Speed,physical quantity,has effect,"Due to the increase in kinetic energy, the particles start vibrating with greater speed.
"
Heat,physical quantity,Energy,physical quantity,subclass of,"The energy supplied by heat overcomes the forces of attraction between the particles.
"
Liquid,fluid,Solid,matter,opposite of,"A stage is reached when the solid melts and is converted to a liquid.
"
Melting point,temperature,Temperature,scalar quantity,subclass of,"The minimum temperature at which a solid melts to become a liquid at the atmospheric pressure is called its melting point.
"
Force of attraction,physical phenomenon,Strength,physical quantity,calculated from,"The melting point of a solid is an indication of the strength of the force of attraction between its particles.
"
Melting point,temperature,Temperature,scalar quantity,subclass of,"The melting point of ice is 273.15 K*.
"
Solid,matter,Liquid,fluid,followed by,"The process of melting, that is, change of solid state into liquid state is also known as fusion.
"
Temperature,scalar quantity,Heat,physical quantity,calculated from,"When a solid melts, its temperature remains the same, so where does the heat energy go?
"
Melting point,temperature,Temperature,scalar quantity,subclass of,"You must have observed, during the experiment of melting, that the temperature of the system does not change after the melting point is reached, till all the ice melts.
"
Heat,physical quantity,Heat,physical quantity,calculated from,"This happens even though we continue to heat the beaker, that is, we continue to supply heat.
"
Force,physical quantity,Force attraction,physical phenomenon,opposite of,"This heat gets used up in changing the state by overcoming the forces of attraction between the particles.
"
Latent heat,heat,Heat,physical quantity,subclass of,"As this heat energy is absorbed by ice without showing any rise in temperature, it is considered that it gets hidden into the contents of the beaker and is known as the latent heat.
"
Latent,None,Hidden,None,said to be the same as,"The word latent means hidden.
"
Melting point,temperature,Solid,matter,facet of,"The amount of heat energy that is required to change 1 kg of a solid into liquid at atmospheric pressure at its melting point is known as the latent heat of fusion.
"
Water,None,Ice,nan,opposite of,"So, particles in water at 0oC (273 K) have more energy as compared to particles in ice at the same temperature.
"
Heat,physical quantity,Energy,physical quantity,subclass of,"When we supply heat energy to water, particles start moving even faster.
"
Energy,physical quantity,Force,physical quantity,has effect,"At a certain temperature, a point is reached when the particles have enough energy to break free from the forces of attraction of each other.
"
Gas,fluid,Liquid,fluid,opposite of,"At this temperature the liquid starts changing into gas.
"
Boiling point,temperature,Temperature,scalar quantity,instance of,"The temperature at which a liquid starts boiling at the atmospheric pressure is known as its boiling point.
"
Boiling,bulk phenomenon,Bulk phenomenon,phenomenon,subclass of,"Boiling is a bulk phenomenon.
"
Vapor,fluid,Liquid,fluid,subclass of,"Particles from the bulk of the liquid gain enough energy to change into the vapour state.
"
Heat,physical quantity,Latent heat,physical quantity,calculated from,"Can you define the latent heat of vaporisation?
"
Heat,physical quantity,Fusion power,physical quantity,facet of,"Do it in the same way as we have defined the latent heat of fusion.
"
Particle,particle,Steam,fluid,part of,"Particles in steam, that is, water vapour at 373 K (1000 C) have more energy than water at the same temperature.
"
Latent heat,physical quantity,Energy,physical quantity,subclass of,"This is because particles in steam have absorbed extra energy in the form of latent heat of vaporisation.
"
Kelvin,coherent SI unit,International System of Units,nan,part of,"*Note: Kelvin is the SI unit of temperature, 0o C =273.15 K.
"
Kelvin,coherent SI unit,Temperature,scalar quantity,measured physical quantity,"To change a temperature on the Kelvin scale to the Celsius scale you have to subtract 273 from the given temperature, and to convert a temperature on the Celsius scale to the Kelvin scale you have to add 273 to the given temperature.
"
Temperature,scalar quantity,State of matter,physical property,calculated from,"So, we infer that the state of matter can be changed into another state by changing the temperature.
"
Gas,fluid,Solid,matter,opposite of,"We have learnt that substances around us change state from solid to liquid and from liquid to gas on application of heat.
"
Rationalised 2023–24,written work,SCIENCE 8,written work,followed by,"But there Rationalised 2023-24  SCIENCE 8 enclosed in a cylinder?
"
Pressure,physical quantity,Mass,physical quantity,calculated from,"Do you think that increasing or decreasing the pressure can change the state of matter?
"
Solid,matter,Gaseous solid,solid,opposite of,"are some that change directly from solid state to gaseous state and vice versa without changing into the liquid state.
"
Camphor,taxon,Candle,goods,has fruit type,"Activity _____________1.13 • Take some camphor.
"
China,ceramic,Tableware,kitchenware,subclass of,"Crush it and put it in a china dish.
"
Cotton plug,plant structure,Funnel,architectural structure,part of,"• Put a cotton plug on the stem of the funnel, as shown in Fig. 1.7.
"
Gas,fluid,Pressure,physical quantity,has effect,"* atmosphere (atm) is a unit of measuring pressure exerted by a gas.
"
Atmospheric pressure,physical quantity,Pressure of air,physical quantity,calculated from,"The pressure of air in atmosphere is called atmospheric pressure.
"
Atmosphere,gas,Atmosphere,gas,part of,"The atmospheric pressure at sea level is 1 atmosphere, and is taken as the normal atmospheric pressure.
"
Fig. 1,figure,Camphor,taxon,depicts,"Fig. 1.7: Sublimation of camphor Fig.
"
Liquid,fluid,Gas,fluid,subclass of,"1.8: By applying pressure, particles of matter can be brought close together Applying pressure and reducing temperature can liquefy gases.
"
Carbon dioxide,None,Solid carbon,None,has parts of the class,"Have you heard of solid carbon dioxide (CO2)?
"
Pressure,physical quantity,Superpressure,physical quantity,facet of,"It is stored  under high pressure.
"
Carbon dioxide,None,Solid,matter,has parts of the class,"Solid CO2 gets converted directly into gaseous state on decrease of pressure to 1 atmosphere* without coming into liquid state.
"
Dry ice,nan,Carbon dioxide,None,subclass of,"This is the reason that solid carbon dioxide is also known as dry ice.
"
Solid,matter,Liquid,fluid,opposite of,"Thus, we can say that pressure and temperature determine the state of a substance, whether it will be solid, liquid or gas.
"
Slowly and observe,scientific method,Heat,physical quantity,uses,"• Now, heat slowly and observe.
"
What do you infer from the above activity,quotation,What do you infer from the above activity,quotation,part of,"• What do you infer from the above activity?
"
State of matter,physical property,State of matter,physical property,different from,"1.4.2 EFFECT OF CHANGE OF PRESSURE We have already learnt that the difference in various states of matter is due to the difference in the distances between the constituent particles.
"
Gas,fluid,Pressure,physical quantity,has quality,"What will happen when we start putting pressure and compress a gas Fig. 1.9: Interconversion of the three states of matter Deposition Rationalised 2023-24  MATTER IN OUR SURROUNDINGS 9 dish and keep it inside a cupboard or on a shelf in your class.
"
Room temperature,temperature,Temperature,scalar quantity,subclass of,"• Record the room temperature.
"
Day,UCUM derived unit,Time,series,part of,"• Record the time or days taken for the evaporation process in the above cases.
"
Rain,precipitation,Precipitation,nan,subclass of,"• Repeat the above three steps of activity on a rainy day and record your observations.
"
Speed,physical quantity,Velocity,physical quantity,calculated from,"• What do you infer about the effect of temperature, surface area and wind velocity (speed) on evaporation?
"
Surface phenomenon,phenomenon,Surface area,physical quantity,has effect,"You must have observed that the rate of •evaporation increases with– an increase of surface area: We know that evaporation is a surface phenomenon.
"
Surface area,physical quantity,Evaporation,phase change,has effect,"If the surface area is increased, the rate of evaporation increases.
"
Clothing,work,Clothing,work,made from material,"For example, while putting clothes for drying up we spread them out.
"
Kinetic energy,physical quantity,Temperature,scalar quantity,has effect,"• an increase of temperature: With the increase of temperature, more number of particles get enough kinetic energy to go into the vapour state.
"
Humidity,physical quantity,Water vapor,None,calculated from,"• a decrease in humidity: Humidity is the amount of water vapour present in air.
"
Atmosphere of Earth,atmosphere,Water,None,made from material,"The air around us cannot hold more than a definite amount of water vapour at a given temperature.
"
Atmosphere of Earth,atmosphere,Water,None,made from material,"If the amount of water in air is already high, the rate of evaporation decreases.
"
Wind,phenomenon,Wind speed,physical quantity,has effect,"• an increase in wind speed: It is a common observation that clothes dry faster on a windy day.
"
Wind speed,physical quantity,Wind,phenomenon,calculated from,"With the increase in wind speed, the particles of water vapour move away with the wind, decreasing the amount of water vapour in the surrounding.
"
Evaporation,physical process,Cooling,physical process,has effect,"1.5.2 HOW DOES EVAPORATION CAUSE COOLING?
"
Evaporation,phase change,Liquid,fluid,has effect,"In an open vessel, the liquid keeps on evaporating.
"
Absorbed energy,energy,Energy,physical quantity,subclass of,"The particles of liquid absorb energy from the surrounding to regain the energy lost during evaporation.
"
Cold,fluid,Energy,physical quantity,subclass of,"This absorption of energy from the surroundings make the surroundings cold.
"
1,natural number,Natural number,integer sequence,instance of,"uestions 1.
"
Celsius,UCUM derived unit,Temperature,scalar quantity,measured physical quantity,"Convert the following temperature to celsius scale: a.
"
573 K,asteroid,Asteroid,nan,instance of,"573 K 2.
"
State of water,physical property,Water,None,facet of,"What is the physical state of water at: a.
"
250oC,temperature,Temperature,scalar quantity,instance of,"250oC b.
"
Celsius,UCUM derived unit,Temperature,scalar quantity,measured physical quantity,"100oC ?
"
