Entity,Definition,Images
Odometer,"An odometer or odograph is an instrument used for measuring the distance traveled by a vehicle, such as a bicycle or car.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b7/Han_dynasty_odometer_cart.jpg', 'https://upload.wikimedia.org/wikipedia/commons/0/0b/Hero%27s_odometer%2C_1st_century_AD%2C_Alexandria_%28reconstruction%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Hubodometer_on_a_wheel_of_a_semitrailer.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/fb/Jeep_Odometer.jpg']"
Table 3,Not found on Wikipedia,['Image not found']
Diagram,A diagram is a symbolic representation of information using visualization techniques.,"['https://upload.wikimedia.org/wikipedia/commons/9/98/Alphagraphen.png', 'https://upload.wikimedia.org/wikipedia/commons/1/10/Automotive_diagrams_01_En.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/88/Gear_pump_exploded.svg', 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Graphtestone.svg']"
Atomic geometry of hydrogen,Not found on Wikipedia,['Image not found']
Tap water,"Tap water (also known as faucet water, running water, or municipal water) is water supplied through a tap, a water dispenser valve.","['https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b4/Ambox_important.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ad/Clean_water_for_a_village_in_West_Lombok_%2810686572086%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/a/ae/Drinking_water.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg']"
Iron filings,Iron filings are very small pieces of iron that look like a light powder.,"['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d3/Powder_steel_on_magnet.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Cattle disease,Not found on Wikipedia,['Image not found']
State of motion,Not found on Wikipedia,['Image not found']
Grammatical case,"A grammatical case is a category of nouns and noun modifiers (determiners, adjectives, participles, and numerals) which corresponds to one or more potential grammatical functions for a nominal group in a wording.","['https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2d/E7127-Balakhna-500-Years.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg']"
Paris Métro,"The Paris Métro (French: Métro de Paris [metʁo də paʁi]; short for Métropolitain [metʁɔpɔlitɛ̃]) and operated by the Régie autonome des transports parisiens (RATP) is a rapid transit system in the Paris metropolitan area, France.","['https://upload.wikimedia.org/wikipedia/commons/d/d2/141012_Paris_Stalingrad_IMG_5848.JPG', 'https://upload.wikimedia.org/wikipedia/commons/3/37/1903-06%2C_Station_Chevaleret_M%C3%A9tro_a%C3%A9rien_rive_gauche_%281%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/ef/BSicon_FUNI.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/7b/Bastille_metro_automatique_II.JPG', 'https://upload.wikimedia.org/wikipedia/commons/2/2b/Carte_M%C3%A9tro_de_Paris.jpg']"
Gas vessel,Not found on Wikipedia,['Image not found']
60 km,Not found on Wikipedia,['Image not found']
Low concentration,Not found on Wikipedia,['Image not found']
Continuous motion,Not found on Wikipedia,['Image not found']
Rest,Rest or REST may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Sailboat,A sailboat or sailing boat is a boat propelled partly or entirely by sails and is smaller than a sailing ship.,"['https://upload.wikimedia.org/wikipedia/commons/d/d3/49er_skiff_sailing_AUS_nationals_Geelong.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Aquarius_Plan_Cornu.JPG', 'https://upload.wikimedia.org/wikipedia/commons/e/e8/Bermuda_rigged_sloop_at_Convict_Bay_ca_1879.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/39/Chubasco_photo_D_Ramey_Logan.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
Bulk phenomenon,Not found on Wikipedia,['Image not found']
Nuclear entity,Not found on Wikipedia,['Image not found']
Carbon disulphide,Not found on Wikipedia,['Image not found']
Fig 7,Not found on Wikipedia,['Image not found']
Craftsperson,Not found on Wikipedia,['Image not found']
Amplifier,"An amplifier, electronic amplifier or (informally) amp is an electronic device that can increase the power of a signal (a time-varying voltage or current).","['https://upload.wikimedia.org/wikipedia/commons/c/c3/45_record.png', 'https://upload.wikimedia.org/wikipedia/commons/1/15/Amplification2.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fd/Amplifier_Circuit_Small.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Dependent_Sources.PNG']"
Graph theory,"In mathematics, graph theory is the study of graphs, which are mathematical structures used to model pairwise relations between objects.","['https://upload.wikimedia.org/wikipedia/commons/5/5b/6n-graf.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/5/51/Computer_Retro.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/a2/Directed.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/41/Global_thinking.svg']"
Small interval,Not found on Wikipedia,['Image not found']
Cartwheel,Cartwheel or Cartwheels  may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Minute,"The minute is a unit of time usually equal to 1/60 (the first sexagesimal fraction) of an hour, or 60 seconds.","['https://upload.wikimedia.org/wikipedia/commons/6/63/Aleutian_Islands_with_180th_meridian_and_International_Date_Line_%28cropped%29.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/30/International_System_Of_Units_Logo_.png', 'https://upload.wikimedia.org/wikipedia/commons/3/30/International_System_Of_Units_Logo_.png', 'https://upload.wikimedia.org/wikipedia/commons/c/cd/La_minute_%28315630347%29.jpg']"
Fig 11.14,Not found on Wikipedia,['Image not found']
Dalton Rationalised,Not found on Wikipedia,['Image not found']
Hold it at one end,Not found on Wikipedia,['Image not found']
Dung,Dung most often refers to animal feces.,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Hydrogen sulfide,"Hydrogen sulfide is a chemical compound with the formula H2S. It is a colorless chalcogen-hydride gas, and is poisonous, corrosive, and flammable, with trace amounts in ambient atmosphere having a characteristic foul odor of rotten eggs.","['https://upload.wikimedia.org/wikipedia/commons/f/f9/AmineTreating.png', 'https://upload.wikimedia.org/wikipedia/commons/0/0f/Buckminsterfullerene-perspective-3D-balls.png', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/66/Deposit_from_hydrogen_sulphide.jpg']"
Skateboard,A skateboard is a type of sports equipment used for skateboarding.,"['https://upload.wikimedia.org/wikipedia/commons/3/30/BallBearing.gif', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Question_book-new.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/98/Skateboard-truck.jpg']"
Hypercube,"In geometry, a hypercube is an n-dimensional analogue of a square (n = 2) and a cube (n = 3).","['https://upload.wikimedia.org/wikipedia/commons/0/02/1-simplex_t0.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/d2/10-cube.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/ca/11-cube.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/71/12-cube.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/2f/13-cube.svg']"
Y,"Y, or y, is the twenty-fifth and penultimate letter of the Latin alphabet, used in the modern English alphabet, the alphabets of other western European languages and others worldwide.","['https://upload.wikimedia.org/wikipedia/commons/a/ac/BSL_letter_Y.svg', 'https://upload.wikimedia.org/wikipedia/commons/3/3b/Braille_Y.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/b/b0/Early_Aramaic_character_-_vav.png', 'https://upload.wikimedia.org/wikipedia/commons/5/52/Gamma_uc_lc.svg']"
Riga,"Riga (; Latvian: Rīga [ˈriːɡa] (listen), Livonian: Rīgõ) is the capital and largest city of Latvia and is home to 605,802 inhabitants which is a third of Latvia's population.","['https://upload.wikimedia.org/wikipedia/commons/8/8b/0871_LVA_Riga_art_noveau_relief_meistaru_iela_10.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e7/0872_LVA_Riga_art_noveau_relief.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/73/16-08-31-%C5%A0koda_24Tr_Irisbus_Riga-RR2_4505.jpg', 'https://upload.wikimedia.org/wikipedia/commons/b/be/A._%C4%8Caka_iela_26_R%C4%ABga_03.jpg', 'https://upload.wikimedia.org/wikipedia/commons/1/1e/Alberta_iel%C4%81_12_20120728-05.JPG']"
Cutting water,Not found on Wikipedia,['Image not found']
Sunlight,"Sunlight is a portion of the electromagnetic radiation given off by the Sun, in particular infrared, visible, and ultraviolet light.","['https://upload.wikimedia.org/wikipedia/commons/b/b4/Apollo_7_Florida.jpg', 'https://upload.wikimedia.org/wikipedia/commons/9/9a/Cape_may.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/0/00/Crab_Nebula.jpg', 'https://upload.wikimedia.org/wikipedia/commons/3/36/D%C3%BClmen%2C_G%C3%B6versheide_--_2015_--_7718-22.jpg']"
Adenosine triphopshate,Not found on Wikipedia,['Image not found']
Metre system,Not found on Wikipedia,['Image not found']
Fertilisation,"Fertilisation or fertilization (see spelling differences), also known as generative fertilisation, syngamy and impregnation, is the fusion of gametes to give rise to a new individual organism or offspring and initiate its development.","['https://upload.wikimedia.org/wikipedia/commons/8/83/Acrosome_reaction_diagram_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/2/26/Bisexuality_symbol_%28bold%2C_color%29.svg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/8/86/DEV035048A.jpg', 'https://upload.wikimedia.org/wikipedia/commons/7/7d/Frogspawn_closeup.jpg']"
Calcium,Calcium is a chemical element with the symbol Ca and atomic number 20.,"['https://upload.wikimedia.org/wikipedia/commons/5/51/Ca%28aq%296_improved_image.tif', 'https://upload.wikimedia.org/wikipedia/commons/1/17/Calcium_intake_world_map.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ec/Calcium_spectrum_visible.png', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Calcium_unter_Argon_Schutzgasatmosph%C3%A4re.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
E coli,Not found on Wikipedia,['Image not found']
Rainwater harvesting,"Rainwater harvesting (RWH) is the collection and storage of rain, rather than allowing it to run off.","['https://upload.wikimedia.org/wikipedia/commons/0/0b/03242012Taller_sostenibilidad_lore037.jpg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e1/CC_BY_icon.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f1/Cistern_in_the_Mission_District%2C_San_Francisco%2C_California.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg']"
River,"A river is a natural flowing watercourse, usually freshwater stream, flowing on the surface or inside caves towards another waterbody at a lower elevation, such as an ocean, sea, bay, lake, wetland, or another river.","['https://upload.wikimedia.org/wikipedia/commons/b/bf/Aegopodium_podagraria1_ies.jpg', 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Amazonrivermap.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Braine-le-Ch%C3%A2teau_JPG02.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/ee/Cross-section_of_a_river_channel_and_its_valley.webp']"
Change,Change or Changing may refer to:,"['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/fa/Wikiquote-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Manure,Manure is organic matter that is used as organic fertilizer in agriculture.,"['https://upload.wikimedia.org/wikipedia/commons/d/d6/ASC_Leiden_-_W.E.A._van_Beek_Collection_-_Dogon_agriculture_05_-_The_women_of_a_neighborhood_ward_with_manure_on_their_way_to_the_field_of_one_of_them%2C_Tireli%2C_Mali_1990.jpg', 'https://upload.wikimedia.org/wikipedia/commons/4/4a/Commons-logo.svg', 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Edit-clear.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c2/Hestem%C3%B8j.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Manure_pools_in_Haikou_01.jpg']"
Manchester,"Manchester () is a city in Greater Manchester, England.","['https://upload.wikimedia.org/wikipedia/commons/2/23/67_Whitworth_Street.jpg', 'https://upload.wikimedia.org/wikipedia/commons/d/db/Angel_Square%2C_front_facade.jpg', 'https://upload.wikimedia.org/wikipedia/commons/6/60/Arms_of_the_Manchester_City_Council.svg', 'Image not found', 'https://upload.wikimedia.org/wikipedia/commons/6/6d/Flag_of_Canada_%281921%E2%80%931957%29.svg']"
Triple,"Triple is used in several contexts to mean ""threefold"" or a ""treble"":","['https://upload.wikimedia.org/wikipedia/commons/5/5f/Disambig_gray.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
Dropping,Not found on Wikipedia,['Image not found']
Circular motion,"In physics, circular motion is a movement of an object along the circumference of a circle or rotation along a circular path.","['https://upload.wikimedia.org/wikipedia/commons/f/ff/Breaking_String.PNG', 'https://upload.wikimedia.org/wikipedia/commons/3/38/Circular_motion_vectors.svg', 'https://upload.wikimedia.org/wikipedia/commons/e/e8/Crystal_Clear_app_kedit.svg', 'https://upload.wikimedia.org/wikipedia/commons/c/c8/Freebody_circular.svg', 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Freebody_object.svg']"
Cell membrane,"The cell membrane (also known as the plasma membrane (PM) or cytoplasmic membrane, and historically referred to as the plasmalemma) is a biological membrane that separates and protects the interior of all cells from the outside environment (the extracellular space).","['https://upload.wikimedia.org/wikipedia/commons/3/38/Alpha_Intercalated_Cell_Cartoon.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/93/Blausen_0213_CellularDiffusion.png', 'https://upload.wikimedia.org/wikipedia/commons/3/3a/Cell_membrane_detailed_diagram_4.svg', 'https://upload.wikimedia.org/wikipedia/commons/d/da/Cell_membrane_detailed_diagram_en.svg', 'https://upload.wikimedia.org/wikipedia/commons/7/79/Cell_membrane_drawing-en.svg']"
Metal alloy,Not found on Wikipedia,['Image not found']
Parenchyma,Parenchyma () is the bulk of functional substance in an animal organ or structure such as a tumour.,"['https://upload.wikimedia.org/wikipedia/commons/d/d4/Emphysema%2C_bullous%2C_subpleural_and_honeycomb_fibrosis_%284563270966%29.jpg', 'https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr-progressive.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/96/Symbol_category_class.svg', 'https://upload.wikimedia.org/wikipedia/commons/9/99/Wiktionary-logo-en-v2.svg']"
